,PLAYER NAME,AVG
0,Fabian Gomez,"26' 0"""
1,Colt Knost,"36' 6"""
2,Hunter Mahan,"39' 5"""
3,Roberto Castro,"46' 9"""
4,Erik Compton,"46' 9"""
5,Hudson Swafford,"48' 5"""
6,Kevin Chappell,"49' 4"""
7,Bill Haas,"52' 8"""
8,Daniel Summerhays,"54' 9"""
9,Ryan Palmer,"56' 9"""
10,George McNeill,"58' 0"""
11,Tyrone Van Aswegen,"58' 4"""
12,Andrew Putnam,"59' 9"""
13,Martin Laird,"60' 6"""
14,Scott Pinckney,"60' 6"""
15,Jerry Kelly,"60' 8"""
16,Bo Van Pelt,"61' 4"""
17,Zach Johnson,"61' 6"""
18,Roger Sloan,"63' 8"""
19,Lucas Glover,"63' 9"""
20,Aaron Baddeley,"65' 1"""
21,Rory Sabbatini,"65' 5"""
22,Stewart Cink,"65' 9"""
23,Jimmy Walker,"66' 3"""
24,Tom Hoge,"66' 4"""
25,Michael Putnam,"66' 7"""
26,Boo Weekley,"66' 9"""
27,Chad Campbell,"67' 0"""
28,Ben Crane,"67' 9"""
29,Steve Wheatcroft,"67' 9"""
30,Chris Kirk,"69' 5"""
31,Carl Pettersson,"69' 8"""
32,Chesson Hadley,"69' 11"""
33,Oscar Fraustro,"70' 2"""
34,Retief Goosen,"70' 5"""
35,Derek Ernst,"70' 10"""
36,Patrick Reed,"71' 2"""
37,Graham DeLaet,"71' 3"""
38,Ken Duke,"71' 3"""
39,D.A. Points,"71' 6"""
40,Robert Allenby,"71' 9"""
41,Lee Westwood,"71' 9"""
42,Nick Taylor,"72' 0"""
43,S.J. Park,"72' 5"""
44,Kevin Streelman,"72' 11"""
45,Jason Gore,"73' 2"""
46,Hideki Matsuyama,"73' 6"""
47,Russell Henley,"73' 9"""
48,Justin Leonard,"73' 11"""
49,Jonathan Randolph,"74' 1"""
50,Tim Wilkinson,"74' 2"""
51,Scott Stallings,"74' 7"""
52,Henrik Stenson,"74' 7"""
53,Jason Bohn,"74' 8"""
54,Webb Simpson,"74' 8"""
55,Jim Renner,"74' 11"""
56,Shawn Stefani,"75' 1"""
