,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
109,T109,T109,Heath Slocum,71,99.22,894,30,857
110,111,111,Jason Kokrak,65,99.19,862,22,833
111,112,112,Seung-Yul Noh,92,99.17,"1,083",43,1031
112,113,113,Martin Kaymer,65,99.13,690,20,664
113,114,114,Brad Fritsch,50,99.12,569,15,549
114,115,115,Carl Pettersson,91,99.11,"1,240",30,1199
115,116,116,Charlie Beljan,76,99.08,974,32,933
116,117,117,Mark Wilson,69,99.07,856,22,826
117,T118,T118,James Driscoll,71,99.05,844,23,813
118,T118,T118,Shawn Stefani,60,99.05,845,28,809
119,120,120,Tyrone Van Aswegen,79,99.03,929,17,903
120,121,121,Kevin Tway,64,99.01,704,21,676
121,T122,T122,Bud Cauley,56,99.00,697,19,671
122,T122,T122,Brice Garnett,92,99.00,"1,098",21,1066
123,T122,T122,Cameron Tringale,111,99.00,"1,400",29,1357
124,125,125,"Ted Potter, Jr.",68,98.95,861,23,829
125,T126,T126,Ernie Els,85,98.92,923,27,886
126,T126,T126,Henrik Stenson,56,98.92,553,20,527
127,T128,T128,Martin Laird,66,98.88,805,18,778
128,T128,T128,John Rollins,84,98.88,986,25,950
129,130,130,Ricky Barnes,92,98.86,"1,136",40,1083
130,T131,T131,Chad Campbell,57,98.84,687,25,654
131,T131,T131,Charlie Wi,72,98.84,949,29,909
132,T133,T133,Brian Davis,93,98.77,"1,142",33,1095
133,T133,T133,D.H. Lee,54,98.77,650,17,625
134,135,135,Phil Mickelson,71,98.71,700,24,667
135,T136,T136,Jim Renner,61,98.70,772,23,739
136,T136,T136,Robert Streb,75,98.70,924,33,879
137,T136,T136,Hudson Swafford,75,98.70,847,21,815
138,139,139,Derek Ernst,80,98.69,918,19,887
139,140,140,Kevin Stadler,90,98.67,979,25,941
140,T141,T141,Chesson Hadley,84,98.64,"1,027",28,985
141,T141,T141,Nick Watney,80,98.64,806,25,770
142,143,143,Trevor Immelman,84,98.51,"1,010",29,966
143,144,144,Martin Flores,85,98.48,986,27,944
144,145,145,Wes Roach,67,98.47,718,20,687
145,146,146,Kevin Chappell,100,98.43,"1,274",35,1219
146,147,147,D.A. Points,75,98.40,811,24,774
147,148,148,Paul Casey,56,98.38,617,21,586
148,149,149,Charl Schwartzel,64,98.33,779,21,745
149,T150,T150,Russell Knox,92,98.25,"1,200",27,1152
150,T150,T150,Michael Putnam,106,98.25,"1,372",25,1323
151,152,152,Scott Stallings,77,98.24,910,16,878
152,153,153,Jeff Maggert,54,97.99,648,14,621
153,T154,T154,Robert Allenby,83,97.94,"1,021",23,977
154,T154,T154,Ryo Ishikawa,75,97.94,872,20,834
155,156,156,J.B. Holmes,86,97.87,"1,125",26,1075
156,157,157,Rory Sabbatini,82,97.86,936,28,888
157,158,158,Vijay Singh,83,97.84,"1,155",39,1091
158,159,159,Gonzalo Fdez-Castano,83,97.80,"1,001",24,955
159,160,160,Lee Westwood,57,97.72,613,21,578
160,161,161,Hideki Matsuyama,82,97.71,917,21,875
161,T162,T162,John Merrick,87,97.69,"1,084",36,1023
162,T162,T162,John Peterson,62,97.69,821,10,792
163,164,164,Steven Bowditch,93,97.68,"1,162",30,1105
164,165,165,Boo Weekley,73,97.57,863,17,825
165,166,166,Jonathan Byrd,76,97.52,968,14,930
166,167,167,Geoff Ogilvy,84,97.50,"1,080",34,1019
167,168,168,Davis Love III,74,97.44,939,26,889
168,169,169,Ken Duke,80,97.41,965,23,917
169,170,170,Louis Oosthuizen,50,96.83,442,12,416
170,T171,T171,Roberto Castro,76,96.47,877,22,824
171,T171,T171,Nicholas Thompson,85,96.47,"1,048",21,990
172,173,173,Kyle Stanley,87,96.36,"1,099",21,1038
173,174,174,Jhonattan Vegas,77,96.13,956,20,899
174,175,175,Jamie Lovemark,64,96.03,706,13,665
175,176,176,Jason Dufner,57,95.32,641,15,596
176,177,177,Lucas Glover,68,94.20,759,23,692
