,PLAYER NAME,AVG
0,Jim Furyk,19.2
1,Patrick Rodgers,19.7
2,Alex Prugh,20.2
3,Hudson Swafford,20.4
4,Jim Herman,20.6
5,Brendan Steele,20.7
6,Adam Scott,20.8
7,Bubba Watson,20.9
8,Graham DeLaet,21.0
9,Keegan Bradley,21.3
10,Andrew Putnam,21.3
11,Dustin Johnson,21.4
12,Lucas Glover,21.8
13,Martin Laird,22.0
14,Willy Wilcox,22.0
15,Martin Flores,22.1
16,Andres Gonzales,22.1
17,Aaron Baddeley,22.2
18,Chad Campbell,22.2
19,Chris Kirk,22.3
20,Tim Wilkinson,22.3
21,Hideki Matsuyama,22.4
22,Jordan Spieth,22.4
23,Henrik Stenson,22.4
24,Angel Cabrera,22.5
25,Brooks Koepka,22.5
26,Jonathan Randolph,22.5
27,Robert Allenby,22.6
28,Paul Casey,22.6
29,George McNeill,22.6
30,Rory Sabbatini,22.6
31,Carlos Ortiz,22.7
32,Jhonattan Vegas,22.7
33,Bill Haas,22.8
34,J.J. Henry,22.9
35,Scott Pinckney,22.9
36,Justin Rose,22.9
37,Gary Woodland,22.9
38,Kevin Chappell,23.0
39,Erik Compton,23.0
40,Charles Howell III,23.0
41,Justin Thomas,23.1
42,Camilo Villegas,23.1
43,Jonas Blixt,23.2
44,Roberto Castro,23.2
45,Charley Hoffman,23.2
46,Davis Love III,23.2
47,J.B. Holmes,23.3
48,Steven Bowditch,23.4
49,Scott Brown,23.4
50,K.J. Choi,23.4
51,Jimmy Walker,23.4
52,Brice Garnett,23.5
53,Sam Saunders,23.5
54,Chad Collins,23.6
55,Russell Henley,23.7
56,Matt Jones,23.7
57,Chez Reavie,23.7
58,Jason Kokrak,23.8
59,Ryan Palmer,23.8
60,Michael Putnam,23.8
61,Brian Harman,23.9
62,Nick Taylor,23.9
63,Alex Cejka,24.0
64,Louis Oosthuizen,24.0
65,John Senden,24.0
66,Andrew Svoboda,24.0
67,Daniel Berger,24.1
68,Oscar Fraustro,24.1
69,James Hahn,24.1
70,Carl Pettersson,24.1
71,Webb Simpson,24.1
72,Scott Stallings,24.1
73,Johnson Wagner,24.1
74,Nick Watney,24.1
75,Jason Day,24.2
76,Russell Knox,24.2
77,Patrick Reed,24.2
78,Brendon de Jonge,24.3
79,Colt Knost,24.3
80,Spencer Levin,24.3
81,Ben Martin,24.3
82,Michael Thompson,24.3
83,Boo Weekley,24.3
84,Stewart Cink,24.4
85,Tony Finau,24.4
86,Retief Goosen,24.4
87,Tom Hoge,24.4
88,Marc Leishman,24.4
89,Jason Dufner,24.5
90,Cameron Percy,24.5
91,Roger Sloan,24.5
92,Harris English,24.6
93,Brian Stuard,24.6
94,Steven Alker,24.7
95,John Merrick,24.7
96,Ian Poulter,24.8
97,Vijay Singh,24.8
98,Daniel Summerhays,24.9
99,Sergio Garcia,25.0
100,Adam Hadwin,25.0
101,Derek Fathauer,25.1
102,Troy Merritt,25.1
103,Blayne Barber,25.2
104,Luke Donald,25.2
105,Ken Duke,25.2
106,Danny Lee,25.2
107,Jason Gore,25.3
108,Max Homa,25.3
109,Shawn Stefani,25.3
110,Jonathan Byrd,25.4
111,Bo Van Pelt,25.4
112,Charlie Beljan,25.5
113,Derek Ernst,25.5
114,Justin Leonard,25.5
115,Ryan Moore,25.5
116,Heath Slocum,25.5
117,David Lingmerth,25.6
118,John Peterson,25.6
119,Steve Wheatcroft,25.6
120,Brandt Snedeker,25.7
121,Jason Bohn,25.8
122,Fabian Gomez,25.8
123,Scott Piercy,25.8
124,Phil Mickelson,25.9
125,Kyle Reifers,25.9
126,Brendon Todd,25.9
127,Mark Hubbard,26.0
128,Scott Langley,26.0
129,Zac Blair,26.1
130,Chesson Hadley,26.1
131,Jerry Kelly,26.1
132,Bryce Molder,26.1
133,Hunter Mahan,26.2
134,Charl Schwartzel,26.2
135,Ricky Barnes,26.3
136,William McGirt,26.3
137,Francesco Molinari,26.3
138,D.A. Points,26.3
139,Gonzalo Fdez-Castano,26.4
140,Rickie Fowler,26.4
141,Matt Kuchar,26.4
142,Chris Stroud,26.4
143,Nicholas Thompson,26.4
144,Sean O'Hair,26.5
145,S.J. Park,26.5
146,Jon Curran,26.6
147,Ryo Ishikawa,26.6
148,Andres Romero,26.6
149,Luke Guthrie,26.8
150,Billy Hurley III,26.8
151,Kevin Streelman,26.8
152,David Hearn,26.9
153,Sangmoon Bae,27.0
154,Jeff Overton,27.0
155,Kevin Kisner,27.1
156,Cameron Tringale,27.1
157,Eric Axley,27.2
158,Matt Every,27.2
159,Padraig Harrington,27.2
160,Robert Streb,27.2
161,Billy Horschel,27.3
162,Zach Johnson,27.5
163,Greg Owen,27.6
164,Jim Renner,27.6
165,Pat Perez,27.7
166,Jamie Donaldson,27.8
167,Robert Garrigus,27.9
168,Geoff Ogilvy,27.9
169,Mark Wilson,27.9
170,Morgan Hoffmann,28.0
171,Ernie Els,28.1
172,John Huh,28.3
173,Byron Smith,28.3
174,Bill Lunde,28.5
175,Seung-Yul Noh,28.7
176,Kevin Na,28.8
177,Whee Kim,28.9
178,Brian Davis,29.2
179,Ben Crane,29.9
180,David Toms,29.9
181,Greg Chalmers,30.9
182,Tyrone Van Aswegen,31.1
183,Lee Westwood,31.2
