,PLAYER NAME,AVG
0,Daniel Berger,"32' 11"""
1,Jason Day,"35' 1"""
2,Jim Furyk,"35' 1"""
3,Lucas Glover,"35' 1"""
4,Jordan Spieth,"35' 2"""
5,Hudson Swafford,"35' 2"""
6,Robert Streb,"35' 5"""
7,Jason Bohn,"35' 9"""
8,Justin Rose,"35' 10"""
9,Stewart Cink,"35' 11"""
10,Paul Casey,"36' 0"""
11,Derek Ernst,"36' 0"""
12,Louis Oosthuizen,"36' 0"""
13,Chris Kirk,"36' 3"""
14,Robert Garrigus,"36' 4"""
15,Jason Gore,"36' 4"""
16,Brian Stuard,"36' 5"""
17,Bo Van Pelt,"36' 6"""
18,Seung-Yul Noh,"36' 7"""
19,Henrik Stenson,"36' 7"""
20,Vijay Singh,"36' 8"""
21,Shawn Stefani,"36' 8"""
22,Gary Woodland,"36' 10"""
23,Charlie Beljan,"37' 0"""
24,Danny Lee,"37' 0"""
25,Jason Kokrak,"37' 3"""
26,Retief Goosen,"37' 5"""
27,Martin Laird,"37' 5"""
28,Jason Dufner,"37' 7"""
29,Ernie Els,"37' 9"""
30,Brendan Steele,"37' 10"""
31,Jim Herman,"37' 11"""
32,Jhonattan Vegas,"37' 11"""
33,Andres Gonzales,"38' 0"""
34,Davis Love III,"38' 0"""
35,Hideki Matsuyama,"38' 1"""
36,Chesson Hadley,"38' 2"""
37,Bill Lunde,"38' 2"""
38,Lee Westwood,"38' 2"""
39,Willy Wilcox,"38' 2"""
40,Sangmoon Bae,"38' 3"""
41,Graham DeLaet,"38' 3"""
42,James Hahn,"38' 3"""
43,Brooks Koepka,"38' 4"""
44,John Merrick,"38' 6"""
45,Webb Simpson,"38' 6"""
46,Patrick Rodgers,"38' 7"""
47,Tyrone Van Aswegen,"38' 7"""
48,Boo Weekley,"38' 7"""
49,Russell Knox,"38' 9"""
50,Jimmy Walker,"38' 9"""
51,Johnson Wagner,"38' 11"""
52,Whee Kim,"39' 0"""
53,Harris English,"39' 2"""
54,Colt Knost,"39' 2"""
55,Tom Hoge,"39' 3"""
56,David Hearn,"39' 4"""
57,Ryo Ishikawa,"39' 4"""
58,Geoff Ogilvy,"39' 5"""
59,Chad Collins,"39' 6"""
60,Jim Renner,"39' 6"""
61,Rory Sabbatini,"39' 6"""
62,Brendon Todd,"39' 6"""
63,Justin Thomas,"39' 7"""
64,Fabian Gomez,"39' 8"""
65,Carlos Ortiz,"39' 8"""
66,Daniel Summerhays,"39' 8"""
67,Kevin Chappell,"39' 9"""
68,Pat Perez,"39' 9"""
69,Troy Merritt,"39' 10"""
70,Rickie Fowler,"39' 11"""
71,Roger Sloan,"40' 0"""
72,Derek Fathauer,"40' 1"""
73,Zach Johnson,"40' 1"""
74,Bubba Watson,"40' 1"""
75,Phil Mickelson,"40' 2"""
76,D.A. Points,"40' 2"""
77,Sam Saunders,"40' 2"""
78,David Toms,"40' 2"""
79,Ken Duke,"40' 3"""
80,Michael Putnam,"40' 4"""
81,Robert Allenby,"40' 5"""
82,Luke Guthrie,"40' 5"""
83,Scott Stallings,"40' 5"""
84,Kevin Kisner,"40' 6"""
85,David Lingmerth,"40' 6"""
86,Brandt Snedeker,"40' 6"""
87,Andrew Svoboda,"40' 6"""
88,Max Homa,"40' 8"""
89,Oscar Fraustro,"40' 9"""
90,Adam Hadwin,"40' 9"""
91,Nick Watney,"40' 9"""
92,Erik Compton,"40' 10"""
93,Ryan Moore,"40' 10"""
94,Steven Alker,"41' 0"""
95,J.J. Henry,"41' 0"""
96,Matt Every,"41' 1"""
97,Keegan Bradley,"41' 3"""
98,Billy Hurley III,"41' 3"""
99,Cameron Percy,"41' 3"""
100,Charl Schwartzel,"41' 3"""
101,Steve Wheatcroft,"41' 3"""
102,Patrick Reed,"41' 4"""
103,Aaron Baddeley,"41' 5"""
104,Steven Bowditch,"41' 5"""
105,Dustin Johnson,"41' 5"""
106,Francesco Molinari,"41' 5"""
107,Adam Scott,"41' 5"""
108,Nick Taylor,"41' 6"""
109,Ryan Palmer,"41' 7"""
