,PLAYER NAME,AVG
0,Heath Slocum,"94' 9"""
1,Jim Renner,"84' 7"""
2,Fabian Gomez,"84' 4"""
3,Sangmoon Bae,"78' 6"""
4,Brian Harman,"73' 10"""
5,Pat Perez,"72' 1"""
6,D.A. Points,"71' 11"""
7,Matt Kuchar,"69' 6"""
8,Kevin Kisner,"69' 3"""
9,Brooks Koepka,"64' 0"""
10,Kevin Chappell,"62' 8"""
11,Cameron Percy,"60' 11"""
12,Michael Thompson,"58' 2"""
13,Ken Duke,"57' 7"""
14,Steve Wheatcroft,"57' 7"""
15,Justin Rose,"55' 7"""
16,John Merrick,"55' 1"""
17,Chesson Hadley,"54' 9"""
18,Shawn Stefani,"54' 4"""
19,Louis Oosthuizen,"53' 11"""
20,Sean O'Hair,"53' 4"""
21,Oscar Fraustro,"53' 2"""
22,Seung-Yul Noh,"52' 6"""
23,George McNeill,"50' 11"""
24,Derek Ernst,"47' 10"""
25,Max Homa,"46' 4"""
26,Russell Knox,"43' 9"""
27,Scott Stallings,"43' 8"""
28,Derek Fathauer,"43' 5"""
29,Luke Donald,"40' 8"""
30,Marc Leishman,"39' 9"""
31,Matt Every,"37' 11"""
32,Adam Scott,"37' 7"""
33,Brendon de Jonge,"37' 2"""
34,Danny Lee,"36' 5"""
35,Cameron Tringale,"36' 2"""
36,Jon Curran,"35' 8"""
37,Andrew Putnam,"35' 3"""
38,Charlie Beljan,"34' 11"""
39,Justin Thomas,"34' 5"""
40,Eric Axley,"33' 6"""
41,Dustin Johnson,"33' 4"""
42,Ernie Els,"32' 3"""
43,Hideki Matsuyama,"30' 11"""
44,Steven Bowditch,"30' 9"""
45,Billy Horschel,"29' 11"""
46,Brandt Snedeker,"29' 7"""
47,Blayne Barber,"28' 5"""
48,Stewart Cink,"28' 0"""
49,Kevin Na,"27' 6"""
50,Nick Watney,"26' 0"""
51,Martin Flores,"25' 10"""
52,Zac Blair,"25' 1"""
53,Mark Wilson,"24' 8"""
54,Ian Poulter,"23' 11"""
55,Geoff Ogilvy,"23' 4"""
56,Scott Pinckney,"22' 10"""
57,Andres Gonzales,"22' 0"""
58,Lucas Glover,"21' 9"""
59,Brian Davis,"19' 6"""
60,S.J. Park,"19' 4"""
61,Camilo Villegas,"19' 2"""
62,Kevin Streelman,"18' 5"""
63,Greg Owen,"16' 8"""
64,Chris Stroud,"16' 8"""
65,Brendon Todd,"14' 10"""
66,Jerry Kelly,"8' 9"""
