,PLAYER NAME,AVG RTP
0,Ryan Palmer,-.055
1,Martin Flores,-.042
2,Charles Howell III,-.020
3,Jim Furyk,-.016
4,Brooks Koepka,-.016
5,Jason Day,-.015
6,Tony Finau,-.006
7,Kevin Na,+.007
8,Bubba Watson,+.008
9,James Hahn,+.009
10,Louis Oosthuizen,+.011
11,Patrick Reed,+.013
12,Daniel Berger,+.017
13,Bill Haas,+.018
14,Kevin Streelman,+.020
15,Paul Casey,+.022
16,George McNeill,+.024
17,Kyle Reifers,+.025
18,David Hearn,+.026
19,Henrik Stenson,+.026
20,Alex Cejka,+.028
21,Harris English,+.032
22,Rickie Fowler,+.033
23,Matt Jones,+.034
24,Brendon Todd,+.037
25,Jordan Spieth,+.038
26,Camilo Villegas,+.039
27,Scott Piercy,+.041
28,Phil Mickelson,+.042
29,Adam Hadwin,+.043
30,Carlos Ortiz,+.043
31,Russell Knox,+.044
32,Steven Bowditch,+.046
33,Jason Kokrak,+.046
34,Vijay Singh,+.048
35,Retief Goosen,+.049
36,John Merrick,+.051
37,Ryan Moore,+.052
38,Jhonattan Vegas,+.054
39,Marc Leishman,+.056
40,Rory Sabbatini,+.057
41,Brendon de Jonge,+.059
42,Tom Hoge,+.060
43,Hudson Swafford,+.061
44,Sean O'Hair,+.063
45,Brice Garnett,+.065
46,Jerry Kelly,+.065
47,Carl Pettersson,+.068
48,Davis Love III,+.075
49,Daniel Summerhays,+.078
50,Jeff Overton,+.079
51,Matt Every,+.080
52,Hunter Mahan,+.080
53,S.J. Park,+.080
54,Sam Saunders,+.080
55,David Lingmerth,+.082
56,Justin Leonard,+.084
57,Jason Dufner,+.086
58,Morgan Hoffmann,+.086
59,Matt Kuchar,+.086
60,Charley Hoffman,+.087
61,Brian Harman,+.091
62,Hideki Matsuyama,+.091
63,Brendan Steele,+.092
64,Martin Laird,+.093
65,Cameron Tringale,+.093
66,Gary Woodland,+.093
67,Justin Thomas,+.095
68,Erik Compton,+.096
69,Eric Axley,+.099
70,Charl Schwartzel,+.100
71,Danny Lee,+.102
72,Andres Romero,+.102
73,Willy Wilcox,+.104
74,Max Homa,+.106
75,Roberto Castro,+.107
76,Kevin Chappell,+.107
77,Shawn Stefani,+.107
78,Luke Guthrie,+.108
79,Tyrone Van Aswegen,+.108
80,Luke Donald,+.109
81,Ryo Ishikawa,+.109
82,Pat Perez,+.110
83,Byron Smith,+.110
84,Billy Horschel,+.113
85,Greg Owen,+.113
86,Derek Fathauer,+.114
87,J.B. Holmes,+.115
88,Derek Ernst,+.117
89,Scott Langley,+.117
90,Ricky Barnes,+.118
91,Francesco Molinari,+.118
92,Ernie Els,+.122
93,William McGirt,+.122
94,Andres Gonzales,+.123
95,Ben Crane,+.125
96,Ken Duke,+.128
97,Charlie Beljan,+.133
98,Chad Campbell,+.133
99,Whee Kim,+.133
100,Keegan Bradley,+.135
101,Angel Cabrera,+.136
102,Bryce Molder,+.136
103,Chez Reavie,+.136
104,Aaron Baddeley,+.137
105,Blayne Barber,+.138
106,Seung-Yul Noh,+.140
107,Sangmoon Bae,+.141
108,Chad Collins,+.143
109,Kevin Kisner,+.144
110,Patrick Rodgers,+.145
111,Jason Gore,+.146
112,Oscar Fraustro,+.149
113,Padraig Harrington,+.152
114,John Peterson,+.152
115,Graham DeLaet,+.153
116,Robert Garrigus,+.153
117,Jonathan Randolph,+.153
118,Zac Blair,+.155
119,D.A. Points,+.155
120,Brian Stuard,+.159
121,Nick Watney,+.159
122,Scott Pinckney,+.160
123,Alex Prugh,+.161
124,Jason Bohn,+.163
125,Jamie Donaldson,+.164
126,Jonathan Byrd,+.165
127,Brandt Snedeker,+.165
128,Chesson Hadley,+.166
129,Boo Weekley,+.168
130,Scott Brown,+.169
131,Scott Stallings,+.169
132,Troy Merritt,+.170
133,Geoff Ogilvy,+.171
134,Robert Streb,+.173
135,Johnson Wagner,+.175
136,Lucas Glover,+.176
137,J.J. Henry,+.176
138,Jim Herman,+.176
139,Jim Renner,+.179
140,Stewart Cink,+.180
141,Zach Johnson,+.180
142,Michael Putnam,+.180
143,Jonas Blixt,+.181
144,Tim Wilkinson,+.183
145,Justin Rose,+.185
146,Nick Taylor,+.189
147,Mark Wilson,+.189
148,K.J. Choi,+.191
149,Gonzalo Fdez-Castano,+.192
150,Billy Hurley III,+.194
151,Andrew Svoboda,+.195
152,Dustin Johnson,+.196
153,Webb Simpson,+.196
154,Ian Poulter,+.197
155,Cameron Percy,+.198
156,Jimmy Walker,+.202
157,Spencer Levin,+.203
158,Chris Kirk,+.207
159,Ben Martin,+.211
160,Steve Wheatcroft,+.212
161,Adam Scott,+.215
162,Chris Stroud,+.215
163,Sergio Garcia,+.219
164,Michael Thompson,+.221
165,Greg Chalmers,+.222
166,Brian Davis,+.222
167,Lee Westwood,+.226
168,John Huh,+.237
169,Nicholas Thompson,+.242
170,David Toms,+.242
171,Robert Allenby,+.245
172,Bo Van Pelt,+.246
173,John Senden,+.250
174,Russell Henley,+.261
175,Jon Curran,+.268
176,Fabian Gomez,+.268
177,Mark Hubbard,+.273
178,Andrew Putnam,+.275
179,Roger Sloan,+.305
180,Colt Knost,+.313
181,Heath Slocum,+.327
182,Steven Alker,+.328
183,Bill Lunde,+.404
