,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
0,1,1,Bryce Molder,77,"20' 7""",20.583,1,E
1,2,2,David Toms,64,"30' 6""",30.500,1,-1
2,3,3,John Senden,99,"36' 2""",144.583,4,-3
3,4,4,D.A. Points,75,"41' 7""",83.083,2,+1
4,5,5,Hideki Matsuyama,82,"43' 11""",43.917,1,-1
5,6,6,Andres Romero,81,"44' 1""",176.333,4,-3
6,7,7,Retief Goosen,94,"48' 2""",385.500,8,-1
7,8,8,"Ted Potter, Jr.",68,"49' 8""",248.417,5,-4
8,9,9,Kevin Tway,64,"52' 4""",104.583,2,-1
9,10,10,Charlie Wi,72,"52' 5""",314.417,6,-6
10,11,11,Jason Dufner,57,"53' 5""",213.667,4,-3
11,12,12,Bill Haas,107,"55' 6""",499.167,9,-6
12,13,13,Sergio Garcia,61,"56' 6""",282.583,5,-2
13,14,14,Dustin Johnson,58,"59' 2""",118.333,2,E
14,15,15,Lucas Glover,68,"59' 11""",598.750,10,-2
15,16,16,Freddie Jacobson,91,"61' 6""",676.500,11,-8
16,17,17,Bronson La'Cassie,51,"62' 7""",187.750,3,-4
17,18,18,Brian Gay,81,"63' 5""",190.333,3,-3
18,19,19,Brandt Snedeker,89,"63' 9""",63.750,1,-1
19,20,20,Heath Slocum,71,"63' 10""",383.083,6,-1
20,21,21,Will Wilcox,51,"64' 9""",323.667,5,-4
21,22,22,Mike Weir,69,"65' 6""",392.833,6,-1
22,23,23,Seung-Yul Noh,92,"66' 2""",396.833,6,-2
23,24,24,Jonathan Byrd,76,"66' 11""",468.333,7,-3
24,25,25,Pat Perez,84,"67' 1""",134.167,2,-1
25,26,26,Jim Furyk,84,"67' 5""",134.833,2,-2
26,27,27,Brooks Koepka,56,"67' 9""",67.750,1,-1
27,T28,T28,James Driscoll,71,"67' 11""",679.167,10,-1
28,T28,T28,Matt Jones,83,"67' 11""",339.750,5,-2
29,30,30,Andrew Loupe,65,"68' 1""",476.417,7,-3
30,T31,T31,Jerry Kelly,80,"68' 9""",412.500,6,-2
31,T31,T31,David Lingmerth,80,"68' 9""",412.667,6,-3
32,33,33,George McNeill,79,"69' 0""",207.000,3,E
33,T34,T34,Luke Donald,57,"69' 3""",138.500,2,-2
34,T34,T34,Jim Herman,62,"69' 3""",415.500,6,-6
35,T36,T36,Brendon de Jonge,109,"69' 6""",347.583,5,-4
36,T36,T36,Geoff Ogilvy,84,"69' 6""",556.000,8,-7
37,38,38,Boo Weekley,73,"70' 6""",211.583,3,-3
38,39,39,Daniel Summerhays,98,"71' 0""",709.667,10,+3
39,40,40,Kevin Na,94,"71' 10""",718.000,10,+1
40,41,41,John Merrick,87,"72' 2""",505.250,7,-5
41,42,42,Morgan Hoffmann,103,"72' 5""",362.000,5,+1
42,43,43,John Rollins,84,"73' 3""",293.083,4,-2
43,T44,T44,Russell Henley,92,"73' 7""",294.250,4,-1
44,T44,T44,Marc Leishman,81,"73' 7""",367.750,5,-2
45,46,46,William McGirt,96,"73' 8""",736.500,10,-2
46,T47,T47,Ken Duke,80,"73' 10""",221.583,3,-1
47,T47,T47,Billy Hurley III,86,"73' 10""",369.000,5,-4
48,49,49,Johnson Wagner,69,"73' 11""",221.750,3,E
49,50,50,Charley Hoffman,93,"74' 1""","1,037.083",14,-11
50,51,51,Charlie Beljan,76,"74' 3""",816.750,11,-1
51,52,52,Phil Mickelson,71,"74' 4""",445.833,6,-5
52,53,53,Josh Teater,90,"74' 5""",297.500,4,-2
53,54,54,Danny Lee,84,"74' 10""",374.167,5,-1
54,T55,T55,Jimmy Walker,98,"75' 0""",675.000,9,-3
55,T55,T55,Nick Watney,80,"75' 0""",600.083,8,-3
56,57,57,Kevin Stadler,90,"76' 2""",685.667,9,E
57,58,58,Tim Wilkinson,86,"76' 3""",304.833,4,-2
58,59,59,Jamie Lovemark,64,"76' 7""",535.917,7,-1
59,T60,T60,Martin Kaymer,65,"76' 8""",766.500,10,-2
60,T60,T60,Troy Merritt,62,"76' 8""",306.583,4,-1
61,62,62,J.B. Holmes,86,"77' 4""",695.750,9,-4
62,63,63,Patrick Reed,92,"77' 6""",697.167,9,-2
63,T64,T64,Matt Every,85,"78' 0""","1,014.250",13,-6
64,T64,T64,Justin Hicks,103,"78' 0""",234.000,3,E
65,66,66,Stewart Cink,91,"78' 5""",548.667,7,-4
66,67,67,Sangmoon Bae,76,"78' 9""",944.750,12,-9
67,68,68,J.J. Henry,91,"78' 11""",315.583,4,-2
68,69,69,Vijay Singh,83,"79' 0""",552.833,7,-2
69,T70,T70,Richard Lee,80,"79' 1""",237.167,3,+2
70,T70,T70,Kyle Stanley,87,"79' 1""",474.250,6,-1
71,T72,T72,Luke Guthrie,85,"79' 4""",396.500,5,-2
72,T72,T72,Chris Kirk,105,"79' 4""",396.583,5,-2
73,74,74,Kevin Chappell,100,"79' 8""",239.000,3,-2
74,75,75,Scott Brown,100,"80' 2""",481.083,6,-3
75,76,76,Mark Wilson,69,"80' 11""",323.667,4,-1
76,77,77,Justin Rose,70,"81' 0""",647.750,8,-3
