,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
77,78,78,Tyrone Van Aswegen,79,"81' 5""",244.250,3,-1
78,79,79,Roberto Castro,76,"81' 8""",326.500,4,-1
79,T80,T80,Charles Howell III,106,"81' 11""",409.750,5,E
80,T80,T80,Gary Woodland,93,"81' 11""",655.417,8,E
81,T82,T82,Ricky Barnes,92,"82' 1""",739.083,9,-4
82,T82,T82,Keegan Bradley,89,"82' 1""",902.583,11,-3
83,84,84,Davis Love III,74,"82' 8""",247.917,3,E
84,85,85,Y.E. Yang,79,"82' 9""",413.583,5,-4
85,T86,T86,Harris English,95,"82' 11""",994.750,12,-3
86,T86,T86,Jeff Maggert,54,"82' 11""",248.833,3,E
87,88,88,Ben Crane,81,"83' 0""",414.833,5,+1
88,T89,T89,Steven Bowditch,93,"83' 4""",749.667,9,-1
89,T89,T89,Zach Johnson,97,"83' 4""",416.583,5,-2
90,T91,T91,Graham DeLaet,80,"83' 5""",417.083,5,-3
91,T91,T91,Scott Langley,95,"83' 5""",500.500,6,-4
92,T91,T91,John Peterson,62,"83' 5""",417.167,5,-1
93,94,94,Michael Thompson,74,"83' 7""",501.417,6,+1
94,T95,T95,Scott Stallings,77,"83' 10""",335.333,4,-4
95,T95,T95,Kevin Streelman,79,"83' 10""",167.667,2,-1
96,97,97,Cameron Tringale,111,"83' 11""",671.583,8,-5
97,98,98,Martin Laird,66,"84' 0""",756.333,9,+2
98,99,99,Robert Allenby,83,"84' 6""",253.417,3,-1
99,100,100,James Hahn,82,"85' 0""",934.667,11,-1
100,101,101,Michael Putnam,106,"85' 1""",765.833,9,-1
101,T102,T102,Gonzalo Fdez-Castano,83,"85' 5""",426.917,5,E
102,T102,T102,Ian Poulter,57,"85' 5""",256.333,3,-1
103,104,104,Brian Davis,93,"85' 6""",427.333,5,-2
104,105,105,Robert Garrigus,80,"85' 7""",684.833,8,-3
105,T106,T106,Spencer Levin,59,"85' 8""",257.083,3,-1
106,T106,T106,Ben Martin,80,"85' 8""",514.000,6,-2
107,108,108,Greg Chalmers,85,"85' 10""",343.333,4,-4
108,109,109,Webb Simpson,87,"86' 6""",173.000,2,+2
109,110,110,Hunter Mahan,88,"86' 10""",260.417,3,-1
110,111,111,Erik Compton,88,"87' 1""",696.667,8,-2
111,112,112,Jonas Blixt,64,"87' 7""",525.583,6,-2
112,113,113,Bud Cauley,56,"87' 8""",263.083,3,-2
113,114,114,Tommy Gainey,73,"88' 4""",530.000,6,E
114,115,115,Jeff Overton,80,"88' 6""",796.167,9,-2
115,116,116,David Hearn,97,"88' 9""",798.750,9,-3
116,117,117,Brendan Steele,89,"89' 4""",446.667,5,-1
117,118,118,Kevin Kisner,85,"89' 5""",536.500,6,-4
118,119,119,Ernie Els,85,"89' 6""",984.917,11,-3
119,120,120,Hudson Swafford,75,"89' 7""",448.083,5,-4
120,121,121,Ryo Ishikawa,75,"89' 8""",717.167,8,-1
121,122,122,Tim Clark,75,"89' 9""",358.833,4,+2
122,123,123,Jordan Spieth,102,"90' 6""",723.750,8,-3
123,124,124,Billy Horschel,92,"90' 8""",453.333,5,-2
124,T125,T125,Chad Collins,78,"91' 1""",546.250,6,-2
125,T125,T125,Martin Flores,85,"91' 1""",819.583,9,-3
126,127,127,Nicholas Thompson,85,"91' 2""",455.750,5,-3
127,128,128,Jim Renner,61,"91' 5""",731.333,8,+1
128,129,129,Jhonattan Vegas,77,"92' 1""",644.750,7,-1
129,130,130,Rickie Fowler,91,"92' 3""",184.417,2,E
130,131,131,John Huh,87,"93' 0""",371.917,4,+3
131,132,132,Sean O'Hair,77,"93' 4""",746.583,8,-2
132,133,133,Derek Ernst,80,"94' 3""",754.000,8,-2
133,134,134,Woody Austin,63,"95' 3""",762.083,8,-5
134,135,135,Camilo Villegas,95,"96' 0""",383.833,4,E
135,136,136,Carl Pettersson,91,"96' 4""",578.167,6,-2
136,137,137,D.H. Lee,54,"97' 5""",194.833,2,E
137,138,138,Henrik Stenson,56,"97' 9""",586.333,6,-4
138,139,139,Ben Curtis,77,"98' 8""",690.917,7,-4
139,140,140,Brendon Todd,108,"98' 10""",395.167,4,-1
140,141,141,Lee Westwood,57,"99' 0""",593.833,6,-4
141,142,142,Will MacKenzie,82,"99' 2""",495.917,5,-2
142,143,143,Paul Casey,56,"99' 5""",198.833,2,-1
143,144,144,Ryan Moore,86,"99' 8""",398.583,4,E
144,145,145,Angel Cabrera,69,"99' 11""",599.333,6,-2
145,146,146,Louis Oosthuizen,50,"100' 5""",301.167,3,+1
146,147,147,Stuart Appleby,92,"100' 7""",402.417,4,-1
147,148,148,Rory Sabbatini,82,"101' 5""","1,318.583",13,-6
148,149,149,Andrew Svoboda,77,"101' 9""",610.583,6,-2
149,150,150,Russell Knox,92,"102' 1""",408.333,4,-1
150,151,151,Chad Campbell,57,"102' 10""",411.167,4,+3
151,152,152,Ryan Palmer,85,"103' 1""",412.250,4,-1
152,T153,T153,Rory McIlroy,66,"103' 3""",722.750,7,-3
153,T153,T153,Charl Schwartzel,64,"103' 3""",516.250,5,E
154,155,155,Brice Garnett,92,"104' 10""",838.667,8,-1
155,156,156,Jason Day,54,"105' 7""",105.583,1,+1
156,157,157,Trevor Immelman,84,"105' 11""",317.667,3,-1
157,158,158,Jason Kokrak,65,"106' 4""",744.083,7,-1
158,159,159,K.J. Choi,80,"106' 9""",320.250,3,-2
159,160,160,Chesson Hadley,84,"107' 1""",321.250,3,E
160,161,161,Brian Stuard,91,"109' 2""",436.500,4,-1
161,162,162,Bubba Watson,76,"111' 7""",334.833,3,-2
162,163,163,Brad Fritsch,50,"112' 1""",448.417,4,-1
163,164,164,Bo Van Pelt,83,"112' 5""",337.250,3,E
164,165,165,Adam Scott,68,"113' 1""",113.083,1,E
165,166,166,Wes Roach,67,"114' 1""",228.083,2,+1
166,167,167,Shawn Stefani,60,"114' 4""",343.083,3,+3
167,168,168,Robert Streb,75,"116' 1""",696.333,6,-4
168,169,169,Brian Harman,111,"120' 10""",241.667,2,E
169,170,170,Troy Matteson,62,"124' 7""",622.750,5,-1
170,171,171,Aaron Baddeley,74,"128' 0""",640.000,5,-2
171,172,172,Briny Baird,50,"131' 4""",131.333,1,E
172,173,173,Chris Stroud,88,"134' 0""",267.917,2,E
