,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
29,T29,T29,Jordan Spieth,102,"38' 7""","4,822.250",125,-14
30,31,31,Jim Renner,61,"38' 10""","3,535.833",91,+14
31,T32,T32,Tyrone Van Aswegen,79,"38' 11""","4,086.667",105,+2
32,T32,T32,Jimmy Walker,98,"38' 11""","4,594.417",118,-7
33,34,34,Kyle Stanley,87,"39' 0""","4,919.000",126,+14
34,T35,T35,Marc Leishman,81,"39' 1""","4,609.167",118,+5
35,T35,T35,Shawn Stefani,60,"39' 1""","4,066.167",104,+7
36,37,37,Patrick Reed,92,"39' 2""","5,328.583",136,-13
37,38,38,Chesson Hadley,84,"39' 3""","4,748.000",121,+16
38,T39,T39,Ernie Els,85,"39' 5""","3,748.250",95,+3
39,T39,T39,Brad Fritsch,50,"39' 5""","2,759.583",70,-1
40,T39,T39,Andrew Svoboda,77,"39' 5""","4,922.083",125,+17
41,T42,T42,Kevin Chappell,100,"39' 6""","6,082.667",154,+6
42,T42,T42,Graeme McDowell,66,"39' 6""","3,993.083",101,+9
43,T42,T42,D.A. Points,75,"39' 6""","4,024.917",102,+2
44,T45,T45,Martin Laird,66,"39' 7""","3,282.417",83,+1
45,T45,T45,Troy Merritt,62,"39' 7""","3,798.333",96,-1
46,T45,T45,Kevin Stadler,90,"39' 7""","4,313.250",109,-3
47,T45,T45,Will Wilcox,51,"39' 7""","2,649.500",67,+3
48,T49,T49,Tim Clark,75,"39' 8""","5,317.333",134,+12
49,T49,T49,Gonzalo Fdez-Castano,83,"39' 8""","4,284.250",108,+4
50,T49,T49,Mark Wilson,69,"39' 8""","3,850.750",97,+5
51,T52,T52,Ken Duke,80,"39' 9""","4,690.167",118,+15
52,T52,T52,Matt Every,85,"39' 9""","4,335.083",109,E
53,T52,T52,Jamie Lovemark,64,"39' 9""","3,060.833",77,-2
54,T52,T52,Scott Stallings,77,"39' 9""","3,934.417",99,+14
55,T56,T56,Russell Henley,92,"39' 10""","5,293.083",133,+10
56,T56,T56,Matt Kuchar,91,"39' 10""","5,418.833",136,+3
57,58,58,John Peterson,62,"39' 11""","3,392.333",85,+12
58,59,59,Chris Stroud,88,"40' 0""","5,640.167",141,+6
59,T60,T60,Ben Crane,81,"40' 1""","5,890.333",147,+11
60,T60,T60,George McNeill,79,"40' 1""","5,170.333",129,+9
61,T60,T60,John Merrick,87,"40' 1""","5,171.417",129,+3
62,T60,T60,Jeff Overton,80,"40' 1""","4,489.083",112,-2
63,T60,T60,Brian Stuard,91,"40' 1""","5,930.333",148,+2
64,T65,T65,Derek Ernst,80,"40' 2""","4,254.667",106,-1
65,T65,T65,Jhonattan Vegas,77,"40' 2""","3,936.750",98,+4
66,T67,T67,Charley Hoffman,93,"40' 3""","4,384.333",109,-1
67,T67,T67,Seung-Yul Noh,92,"40' 3""","5,190.833",129,-7
68,69,69,Scott Brown,100,"40' 4""","6,374.583",158,-5
69,70,70,Jason Dufner,57,"40' 5""","2,629.500",65,-3
70,T71,T71,Billy Hurley III,86,"40' 6""","5,833.750",144,+15
71,T71,T71,Ian Poulter,57,"40' 6""","3,037.833",75,+7
72,T71,T71,David Toms,64,"40' 6""","4,290.583",106,+3
73,T74,T74,Rickie Fowler,91,"40' 7""","4,059.083",100,+2
74,T74,T74,Jason Kokrak,65,"40' 7""","4,462.500",110,-4
75,T76,T76,Phil Mickelson,71,"40' 9""","3,466.583",85,-7
76,T76,T76,Brendan Steele,89,"40' 9""","5,096.083",125,+5
77,78,78,Ricky Barnes,92,"40' 10""","4,697.750",115,+6
78,T79,T79,Erik Compton,88,"40' 11""","4,868.083",119,+3
79,T79,T79,Kevin Na,94,"40' 11""","6,011.250",147,+8
80,T81,T81,Ryan Palmer,85,"41' 0""","4,347.083",106,-11
81,T81,T81,Boo Weekley,73,"41' 0""","3,734.000",91,+16
82,T83,T83,Jim Herman,62,"41' 2""","3,377.500",82,+4
83,T83,T83,Kevin Streelman,79,"41' 2""","3,873.333",94,-4
84,T85,T85,Brendon de Jonge,109,"41' 4""","6,531.500",158,+6
85,T85,T85,Robert Streb,75,"41' 4""","4,341.583",105,E
86,T87,T87,Charles Howell III,106,"41' 5""","5,673.083",137,+8
87,T87,T87,Kevin Kisner,85,"41' 5""","4,722.167",114,+8
88,T89,T89,Robert Garrigus,80,"41' 6""","4,769.583",115,+4
89,T89,T89,Trevor Immelman,84,"41' 6""","4,816.167",116,+7
90,T89,T89,Dustin Johnson,58,"41' 6""","2,118.250",51,-4
91,T89,T89,Davis Love III,74,"41' 6""","4,353.583",105,+1
92,T89,T89,Wes Roach,67,"41' 6""","3,404.333",82,+12
93,T94,T94,Morgan Hoffmann,103,"41' 8""","5,879.667",141,-8
94,T94,T94,Louis Oosthuizen,50,"41' 8""","2,123.750",51,-4
95,T96,T96,Jerry Kelly,80,"41' 9""","4,679.083",112,+8
96,T96,T96,Chris Kirk,105,"41' 9""","6,430.083",154,-3
97,T98,T98,Lucas Glover,68,"41' 10""","3,677.917",88,E
98,T98,T98,Retief Goosen,94,"41' 10""","5,185.250",124,+1
99,T98,T98,Bryce Molder,77,"41' 10""","4,518.083",108,+6
100,T101,T101,Ryan Moore,86,"41' 11""","4,693.583",112,+4
101,T101,T101,Brandt Snedeker,89,"41' 11""","5,324.667",127,+3
102,103,103,Pat Perez,84,"42' 0""","5,287.583",126,+8
103,T104,T104,Tommy Gainey,73,"42' 1""","3,994.417",95,+8
104,T104,T104,D.H. Lee,54,"42' 1""","3,958.833",94,+15
105,T104,T104,Geoff Ogilvy,84,"42' 1""","4,879.583",116,+23
106,T104,T104,Andres Romero,81,"42' 1""","5,262.000",125,+16
107,108,108,Michael Putnam,106,"42' 2""","6,826.500",162,-3
108,T109,T109,Martin Flores,85,"42' 4""","4,360.583",103,-1
109,T109,T109,Freddie Jacobson,91,"42' 4""","5,753.250",136,+7
110,T109,T109,Heath Slocum,71,"42' 4""","5,752.333",136,+3
111,T109,T109,Gary Woodland,93,"42' 4""","6,008.167",142,-2
112,113,113,Will MacKenzie,82,"42' 5""","6,364.833",150,-1
113,T114,T114,David Hearn,97,"42' 6""","6,843.417",161,+8
114,T114,T114,Henrik Stenson,56,"42' 6""","3,950.167",93,+1
115,T114,T114,Lee Westwood,57,"42' 6""","3,142.333",74,+9
116,117,117,Jeff Maggert,54,"42' 7""","3,194.750",75,+7
117,118,118,Mike Weir,69,"42' 8""","4,007.167",94,+9
118,T119,T119,Daniel Summerhays,98,"42' 9""","6,664.250",156,+18
119,T119,T119,Brendon Todd,108,"42' 9""","7,775.583",182,+13
120,T119,T119,Bubba Watson,76,"42' 9""","4,358.500",102,-2
121,122,122,Cameron Tringale,111,"42' 10""","8,141.000",190,+13
122,T123,T123,Chad Collins,78,"42' 11""","4,762.417",111,+7
123,T123,T123,Bill Haas,107,"42' 11""","6,177.417",144,-2
124,125,125,Steven Bowditch,93,"43' 0""","5,033.833",117,+9
125,T126,T126,Webb Simpson,87,"43' 1""","5,473.917",127,+6
126,T126,T126,Kevin Tway,64,"43' 1""","3,143.333",73,+2
127,T128,T128,Hunter Mahan,88,"43' 2""","5,184.917",120,+5
128,T128,T128,Camilo Villegas,95,"43' 2""","5,695.000",132,+8
129,T130,T130,Danny Lee,84,"43' 3""","5,879.500",136,+34
130,T130,T130,Rory Sabbatini,82,"43' 3""","4,758.833",110,+12
131,T132,T132,Bud Cauley,56,"43' 4""","3,510.917",81,-2
132,T132,T132,Ben Martin,80,"43' 4""","4,982.917",115,-5
133,T134,T134,Stuart Appleby,92,"43' 6""","6,176.500",142,+14
134,T134,T134,John Huh,87,"43' 6""","5,353.250",123,+9
135,T134,T134,Carl Pettersson,91,"43' 6""","5,432.333",125,+16
136,137,137,Scott Langley,95,"43' 8""","5,499.083",126,+12
137,T138,T138,Aaron Baddeley,74,"43' 9""","3,368.417",77,+4
138,T138,T138,Brice Garnett,92,"43' 9""","5,289.500",121,+15
139,T138,T138,Luke Guthrie,85,"43' 9""","5,428.917",124,+9
140,T138,T138,Ryo Ishikawa,75,"43' 9""","4,593.417",105,-4
141,T142,T142,David Lingmerth,80,"43' 10""","4,601.417",105,+11
142,T142,T142,Michael Thompson,74,"43' 10""","4,078.250",93,+5
143,T144,T144,Robert Allenby,83,"43' 11""","5,179.083",118,+3
144,T144,T144,Jonas Blixt,64,"43' 11""","3,557.333",81,+4
145,T144,T144,Justin Hicks,103,"43' 11""","7,559.333",172,+30
146,147,147,Jonathan Byrd,76,"44' 1""","4,585.000",104,+8
147,T148,T148,Briny Baird,50,"44' 2""","3,576.250",81,E
148,T148,T148,William McGirt,96,"44' 2""","6,096.250",138,+1
149,T148,T148,Johnson Wagner,69,"44' 2""","3,662.417",83,+6
150,151,151,James Hahn,82,"44' 4""","4,964.583",112,+7
151,T152,T152,Sangmoon Bae,76,"44' 6""","4,449.583",100,+3
152,T152,T152,Josh Teater,90,"44' 6""","5,165.333",116,-5
153,154,154,Tim Wilkinson,86,"44' 8""","5,446.667",122,+15
154,155,155,Sean O'Hair,77,"44' 11""","5,564.750",124,+9
155,156,156,Y.E. Yang,79,"45' 0""","4,945.500",110,-1
156,157,157,Nicholas Thompson,85,"45' 3""","5,748.583",127,+10
157,158,158,K.J. Choi,80,"45' 7""","5,927.000",130,+16
158,T159,T159,Brian Davis,93,"45' 9""","6,997.583",153,+14
159,T159,T159,J.B. Holmes,86,"45' 9""","6,271.750",137,+5
160,161,161,Matt Jones,83,"46' 0""","4,827.500",105,-3
161,T162,T162,Woody Austin,63,"46' 2""","4,246.583",92,+22
162,T162,T162,Spencer Levin,59,"46' 2""","4,110.500",89,+12
163,164,164,Bronson La'Cassie,51,"46' 6""","3,209.417",69,+8
164,165,165,J.J. Henry,91,"46' 9""","5,940.167",127,+5
165,T166,T166,James Driscoll,71,"47' 2""","4,294.583",91,+10
166,T166,T166,John Rollins,84,"47' 2""","5,096.083",108,+25
167,168,168,Troy Matteson,62,"47' 3""","3,826.500",81,+20
168,169,169,Charlie Wi,72,"47' 6""","4,937.250",104,+4
169,170,170,Justin Leonard,75,"48' 0""","5,710.500",119,+6
170,171,171,"Ted Potter, Jr.",68,"48' 2""","5,493.500",114,+13
171,172,172,Andrew Loupe,65,"48' 5""","3,774.250",78,-1
172,173,173,Roberto Castro,76,"48' 6""","5,529.083",114,+13
173,174,174,Richard Lee,80,"49' 5""","4,645.917",94,+13
174,175,175,Ben Curtis,77,"50' 2""","6,065.667",121,+22
175,176,176,Greg Chalmers,85,"50' 3""","6,788.417",135,+14
176,177,177,Brian Gay,81,"51' 1""","5,464.250",107,+23
