,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
0,1,1,Graham DeLaet,80,"32' 10""","3,709.000",113,-15
1,2,2,Justin Rose,70,"34' 5""","3,301.667",96,-3
2,3,3,Hideki Matsuyama,82,"36' 1""","3,682.250",102,+6
3,4,4,Zach Johnson,97,"36' 2""","5,708.083",158,-9
4,T5,T5,Jason Bohn,81,"36' 3""","5,040.500",139,+3
5,T5,T5,Sergio Garcia,61,"36' 3""","2,608.583",72,-10
6,7,7,Keegan Bradley,89,"36' 9""","4,339.333",118,-9
7,8,8,Stewart Cink,91,"36' 10""","4,534.917",123,-4
8,T9,T9,Charl Schwartzel,64,"36' 11""","3,285.250",89,-5
9,T9,T9,Adam Scott,68,"36' 11""","3,583.917",97,-9
10,T11,T11,Angel Cabrera,69,"37' 1""","3,630.833",98,+7
11,T11,T11,Billy Horschel,92,"37' 1""","4,556.583",123,-7
12,T11,T11,John Senden,99,"37' 1""","5,118.750",138,-5
13,14,14,Martin Kaymer,65,"37' 3""","2,796.833",75,+2
14,T15,T15,Jim Furyk,84,"37' 7""","4,926.833",131,+2
15,T15,T15,Russell Knox,92,"37' 7""","5,375.083",143,+5
16,T15,T15,Rory McIlroy,66,"37' 7""","3,531.583",94,-22
17,18,18,Bo Van Pelt,83,"37' 10""","3,821.500",101,-10
18,19,19,Chad Campbell,57,"37' 11""","2,844.750",75,-2
19,20,20,Luke Donald,57,"38' 0""","3,877.000",102,+6
20,T21,T21,Charlie Beljan,76,"38' 3""","3,822.667",100,-4
21,T21,T21,Paul Casey,56,"38' 3""","3,063.167",80,+4
22,T21,T21,Jason Day,54,"38' 3""","2,331.667",61,+2
23,24,24,Harris English,95,"38' 4""","4,712.917",123,-13
24,T25,T25,Vijay Singh,83,"38' 5""","4,837.500",126,+6
25,T25,T25,Hudson Swafford,75,"38' 5""","4,074.417",106,-9
26,T25,T25,Nick Watney,80,"38' 5""","3,884.250",101,-5
27,28,28,Brooks Koepka,56,"38' 6""","3,153.833",82,-10
28,T29,T29,Brian Harman,111,"38' 7""","6,481.500",168,-7
