,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
87,T84,T84,Boo Weekley,73,"17' 4""",971.917,56,-10
88,T89,T89,Andrew Loupe,65,"17' 5""",677.833,39,-4
89,T89,T89,Brendan Steele,89,"17' 5""",923.500,53,-10
90,T89,T89,Camilo Villegas,95,"17' 5""","1,359.417",78,-9
91,T89,T89,Bubba Watson,76,"17' 5""","1,061.750",61,-5
92,T93,T93,Ernie Els,85,"17' 8""",901.333,51,-3
93,T93,T93,Jim Herman,62,"17' 8""",705.667,40,-6
94,T93,T93,Chris Kirk,105,"17' 8""","1,374.917",78,-7
95,T93,T93,Will MacKenzie,82,"17' 8""","1,007.833",57,-7
96,97,97,Johnson Wagner,69,"17' 9""",761.667,43,-3
97,T98,T98,Brian Davis,93,"17' 10""","1,299.500",73,-19
98,T98,T98,John Merrick,87,"17' 10""","1,068.083",60,-5
99,T98,T98,Kevin Stadler,90,"17' 10""",891.333,50,-13
100,T101,T101,Bill Haas,107,"17' 11""","1,251.833",70,-17
101,T101,T101,James Hahn,82,"17' 11""",932.917,52,-3
102,T101,T101,Ian Poulter,57,"17' 11""",591.667,33,-6
103,T101,T101,Kevin Streelman,79,"17' 11""","1,166.250",65,-12
104,T101,T101,Gary Woodland,93,"17' 11""","1,005.333",56,-4
105,T106,T106,William McGirt,96,"18' 0""","1,276.750",71,-15
106,T106,T106,Nicholas Thompson,85,"18' 0""","1,064.333",59,-9
107,T108,T108,"Ted Potter, Jr.",68,"18' 1""","1,032.250",57,-6
108,T108,T108,Mike Weir,69,"18' 1""",631.667,35,-5
109,T110,T110,Robert Garrigus,80,"18' 2""",906.917,50,-6
110,T110,T110,J.J. Henry,91,"18' 2""","1,054.750",58,-12
111,T110,T110,J.B. Holmes,86,"18' 2""","1,160.000",64,-8
112,T110,T110,Lee Westwood,57,"18' 2""",636.833,35,-8
113,T114,T114,Robert Allenby,83,"18' 3""",785.667,43,-8
114,T114,T114,Martin Flores,85,"18' 3""","1,425.583",78,-4
115,T114,T114,Russell Knox,92,"18' 3""","1,696.583",93,-5
116,T114,T114,Matt Kuchar,91,"18' 3""","1,185.417",65,-15
117,T118,T118,Ken Duke,80,"18' 4""","1,026.167",56,-4
118,T118,T118,Charley Hoffman,93,"18' 4""","1,228.250",67,-14
119,120,120,Ryan Palmer,85,"18' 5""",848.167,46,-2
120,121,121,Hudson Swafford,75,"18' 6""",906.583,49,-7
121,T122,T122,Billy Horschel,92,"18' 7""","1,210.417",65,-11
122,T122,T122,Andrew Svoboda,77,"18' 7""",892.917,48,-7
123,124,124,Charlie Beljan,76,"18' 8""","1,213.667",65,-3
124,T125,T125,Matt Every,85,"18' 9""",599.667,32,+3
125,T125,T125,Kevin Tway,64,"18' 9""",450.917,24,E
126,127,127,Y.E. Yang,79,"18' 10""",696.167,37,+2
127,T128,T128,Seung-Yul Noh,92,"18' 11""","1,001.250",53,-6
128,T128,T128,John Senden,99,"18' 11""","1,155.333",61,-11
129,T130,T130,Woody Austin,63,"19' 0""","1,156.583",61,-7
130,T130,T130,Richard Lee,80,"19' 0""",950.167,50,-11
131,T130,T130,Ryan Moore,86,"19' 0""","1,026.833",54,-9
132,T133,T133,Sean O'Hair,77,"19' 1""",859.000,45,-5
133,T133,T133,Rory Sabbatini,82,"19' 1""",876.750,46,-12
134,T135,T135,Brendon de Jonge,109,"19' 2""","1,227.417",64,+8
135,T135,T135,Brendon Todd,108,"19' 2""","1,780.000",93,-19
136,T137,T137,Morgan Hoffmann,103,"19' 3""","1,446.833",75,+7
137,T137,T137,Scott Langley,95,"19' 3""","1,767.250",92,-11
138,T139,T139,Luke Donald,57,"19' 5""",697.750,36,-1
139,T139,T139,Shawn Stefani,60,"19' 5""","1,065.833",55,-12
140,141,141,Sergio Garcia,61,"19' 6""",585.167,30,-1
141,T142,T142,Patrick Reed,92,"19' 7""","1,526.333",78,-7
142,T142,T142,Tyrone Van Aswegen,79,"19' 7""","1,117.167",57,+2
143,T144,T144,Lucas Glover,68,"19' 9""",750.500,38,+7
144,T144,T144,Mark Wilson,69,"19' 9""",967.833,49,+4
145,146,146,Will Wilcox,51,"19' 10""",455.583,23,+5
146,147,147,Justin Hicks,103,"19' 11""","2,147.000",108,-23
147,T148,T148,Scott Brown,100,"20' 1""","1,645.667",82,-9
148,T148,T148,Brice Garnett,92,"20' 1""","1,005.833",50,-5
149,T148,T148,D.H. Lee,54,"20' 1""",783.333,39,-1
150,T148,T148,Graeme McDowell,66,"20' 1""",541.750,27,-6
151,T148,T148,Phil Mickelson,71,"20' 1""",963.500,48,+1
152,153,153,Jeff Maggert,54,"20' 3""",931.167,46,-4
153,154,154,Matt Jones,83,"20' 4""",813.750,40,+4
154,155,155,Chad Campbell,57,"20' 5""",896.750,44,E
155,156,156,Daniel Summerhays,98,"20' 7""","1,356.917",66,-9
156,T157,T157,Bronson La'Cassie,51,"20' 8""",578.917,28,-5
157,T157,T157,Jamie Lovemark,64,"20' 8""",765.667,37,-5
158,T159,T159,John Peterson,62,"20' 10""",956.833,46,-6
159,T159,T159,Robert Streb,75,"20' 10""","1,372.333",66,-8
160,T161,T161,David Hearn,97,"20' 11""","1,757.250",84,-13
161,T161,T161,Andres Romero,81,"20' 11""","1,257.333",60,-5
162,163,163,Henrik Stenson,56,"21' 0""",691.750,33,E
163,T164,T164,Louis Oosthuizen,50,"21' 5""",535.500,25,-2
164,T164,T164,Michael Thompson,74,"21' 5""","1,520.000",71,+9
165,T166,T166,Angel Cabrera,69,"21' 6""",926.167,43,-7
166,T166,T166,Derek Ernst,80,"21' 6""",968.000,45,-6
167,168,168,Charlie Wi,72,"21' 7""",970.250,45,-5
168,169,169,Tommy Gainey,73,"21' 8""","1,171.500",54,-3
169,170,170,Jhonattan Vegas,77,"22' 0""",945.417,43,-1
170,171,171,Gonzalo Fdez-Castano,83,"22' 3""","1,066.000",48,E
171,172,172,Wes Roach,67,"22' 4""",715.500,32,+5
172,173,173,Aaron Baddeley,74,"23' 5""",842.500,36,-2
173,174,174,Paul Casey,56,"24' 1""",577.917,24,-3
174,175,175,Kyle Stanley,87,"24' 11""","1,146.833",46,+8
175,176,176,Martin Kaymer,65,"25' 0""",525.000,21,+6
176,177,177,John Huh,87,"25' 3""","1,213.583",48,E
