,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
0,1,1,Ryo Ishikawa,75,"12' 0""",407.667,34,-15
1,2,2,Jason Day,54,"13' 0""",363.750,28,-6
2,3,3,Webb Simpson,87,"13' 10""",858.750,62,-15
3,T4,T4,Kevin Chappell,100,"14' 1""","1,281.500",91,-12
4,T4,T4,Tim Clark,75,"14' 1""",942.583,67,-11
5,T4,T4,Erik Compton,88,"14' 1""",870.750,62,-14
6,T4,T4,Jason Dufner,57,"14' 1""",421.667,30,-12
7,T4,T4,Zach Johnson,97,"14' 1""",997.167,71,-19
8,9,9,Bud Cauley,56,"14' 2""",538.917,38,-5
9,T10,T10,Troy Merritt,62,"14' 5""",779.417,54,-9
10,T10,T10,Michael Putnam,106,"14' 5""",805.000,56,-9
11,12,12,Martin Laird,66,"14' 8""",675.000,46,-12
12,T13,T13,Spencer Levin,59,"14' 9""",546.500,37,-6
13,T13,T13,Chris Stroud,88,"14' 9""",647.417,44,-2
14,T15,T15,Justin Leonard,75,"14' 10""",844.667,57,-21
15,T15,T15,Justin Rose,70,"14' 10""",639.417,43,-7
16,T15,T15,Tim Wilkinson,86,"14' 10""","1,067.333",72,-21
17,T18,T18,Keegan Bradley,89,"15' 0""",630.000,42,-7
18,T18,T18,Scott Stallings,77,"15' 0""",749.333,50,-8
19,20,20,Jonathan Byrd,76,"15' 2""",684.167,45,-11
20,21,21,Nick Watney,80,"15' 3""",702.167,46,-7
21,T22,T22,Briny Baird,50,"15' 5""",646.917,42,-7
22,T22,T22,David Lingmerth,80,"15' 5""","1,046.000",68,-13
23,T24,T24,K.J. Choi,80,"15' 6""","1,131.167",73,-13
24,T24,T24,Harris English,95,"15' 6""",804.917,52,-7
25,T24,T24,Hideki Matsuyama,82,"15' 6""",698.083,45,-4
26,T24,T24,D.A. Points,75,"15' 6""",884.250,57,-2
27,T28,T28,Steven Bowditch,93,"15' 7""",840.083,54,-14
28,T28,T28,Brandt Snedeker,89,"15' 7""",968.333,62,-5
29,T30,T30,Jim Furyk,84,"15' 9""","1,163.917",74,-15
30,T30,T30,Bryce Molder,77,"15' 9""","1,023.083",65,-5
31,32,32,Billy Hurley III,86,"15' 10""","1,238.167",78,-24
32,T33,T33,Marc Leishman,81,"15' 11""",780.417,49,-12
33,T33,T33,Charl Schwartzel,64,"15' 11""",730.583,46,-12
34,T35,T35,Rickie Fowler,91,"16' 0""",721.500,45,-13
35,T35,T35,Luke Guthrie,85,"16' 0""","1,039.167",65,-16
36,T35,T35,Dustin Johnson,58,"16' 0""",384.833,24,-6
37,T35,T35,Jordan Spieth,102,"16' 0""","1,185.750",74,-18
38,39,39,Kevin Na,94,"16' 2""",889.833,55,-11
39,T40,T40,Chad Collins,78,"16' 3""",697.583,43,-10
40,T40,T40,Jeff Overton,80,"16' 3""",731.917,45,-10
41,T40,T40,John Rollins,84,"16' 3""",813.917,50,-8
42,T40,T40,Cameron Tringale,111,"16' 3""","1,426.417",88,-14
43,T44,T44,Chesson Hadley,84,"16' 4""",864.000,53,-7
44,T44,T44,Charles Howell III,106,"16' 4""","1,274.750",78,-20
45,T44,T44,Danny Lee,84,"16' 4""",733.417,45,-5
46,T47,T47,Stewart Cink,91,"16' 5""","1,135.000",69,-3
47,T47,T47,Brian Harman,111,"16' 5""","1,655.500",101,-31
48,T47,T47,Russell Henley,92,"16' 5""","1,248.250",76,-14
49,T47,T47,Vijay Singh,83,"16' 5""","1,264.583",77,-9
50,T51,T51,Stuart Appleby,92,"16' 6""","1,585.250",96,-16
51,T51,T51,Brad Fritsch,50,"16' 6""",445.333,27,-9
52,T51,T51,Trevor Immelman,84,"16' 6""",825.167,50,-5
53,T51,T51,Brooks Koepka,56,"16' 6""",660.000,40,-9
54,T51,T51,Brian Stuard,91,"16' 6""",991.667,60,-11
55,T56,T56,Davis Love III,74,"16' 7""",828.750,50,-5
56,T56,T56,Jimmy Walker,98,"16' 7""",828.333,50,-10
57,T58,T58,Rory McIlroy,66,"16' 8""",532.833,32,-7
58,T58,T58,Josh Teater,90,"16' 8""","1,052.333",63,-9
59,T60,T60,Brian Gay,81,"16' 10""","1,247.333",74,-11
60,T60,T60,Hunter Mahan,88,"16' 10""",840.750,50,-11
61,T62,T62,Sangmoon Bae,76,"16' 11""",861.083,51,-5
62,T62,T62,Ricky Barnes,92,"16' 11""",963.083,57,-5
63,T62,T62,Greg Chalmers,85,"16' 11""","1,049.333",62,-19
64,T62,T62,Jason Kokrak,65,"16' 11""",745.667,44,-6
65,T66,T66,Jason Bohn,81,"17' 0""",987.250,58,-12
66,T66,T66,Ben Curtis,77,"17' 0""",783.167,46,-16
67,T66,T66,Ben Martin,80,"17' 0""",713.667,42,-2
68,T66,T66,Troy Matteson,62,"17' 0""",714.667,42,-1
69,T66,T66,Geoff Ogilvy,84,"17' 0""",967.333,57,-5
70,T66,T66,Jim Renner,61,"17' 0""",662.167,39,-8
71,T66,T66,Adam Scott,68,"17' 0""",696.500,41,-5
72,T73,T73,Graham DeLaet,80,"17' 1""","1,040.833",61,-2
73,T73,T73,James Driscoll,71,"17' 1""",616.250,36,-9
74,T73,T73,Freddie Jacobson,91,"17' 1""","1,109.250",65,-14
75,T73,T73,Pat Perez,84,"17' 1""","1,227.250",72,-15
76,T73,T73,Heath Slocum,71,"17' 1""","1,163.750",68,-15
77,78,78,Jerry Kelly,80,"17' 2""","1,011.417",59,-13
78,T79,T79,Jonas Blixt,64,"17' 3""",708.500,41,-7
79,T79,T79,Roberto Castro,76,"17' 3""","1,089.333",63,-6
80,T79,T79,Ben Crane,81,"17' 3""","1,430.500",83,-8
81,T79,T79,Retief Goosen,94,"17' 3""","1,448.667",84,-9
82,T79,T79,Kevin Kisner,85,"17' 3""","1,068.833",62,-19
83,T84,T84,George McNeill,79,"17' 4""","1,057.583",61,-1
84,T84,T84,Carl Pettersson,91,"17' 4""","1,111.583",64,-7
85,T84,T84,David Toms,64,"17' 4""","1,004.333",58,-15
86,T84,T84,Bo Van Pelt,83,"17' 4""","1,371.667",79,-2
