,PLAYER NAME,AVG
0,Francesco Molinari,"20' 1"""
1,Patrick Rodgers,"20' 4"""
2,Charley Hoffman,"40' 10"""
3,Johnson Wagner,"46' 3"""
4,Kyle Reifers,"47' 1"""
5,Louis Oosthuizen,"57' 1"""
6,Bubba Watson,"58' 3"""
7,Nick Watney,"58' 9"""
8,Andrew Putnam,"60' 0"""
9,Derek Ernst,"67' 10"""
10,Angel Cabrera,"69' 11"""
11,Pat Perez,"70' 4"""
12,Graham DeLaet,"70' 7"""
13,Greg Owen,"71' 10"""
14,Paul Casey,"72' 8"""
15,J.B. Holmes,"73' 0"""
16,Justin Rose,"73' 9"""
17,Chad Campbell,"74' 8"""
18,Brendan Steele,"74' 8"""
19,Willy Wilcox,"74' 10"""
20,Jason Day,"75' 4"""
21,Chad Collins,"75' 7"""
22,Kevin Kisner,"75' 11"""
23,Alex Prugh,"76' 0"""
24,John Peterson,"76' 2"""
25,Adam Hadwin,"76' 3"""
26,Brice Garnett,"76' 10"""
27,Sean O'Hair,"78' 0"""
28,Hideki Matsuyama,"78' 3"""
29,Brian Harman,"78' 7"""
30,Ben Martin,"79' 5"""
31,Cameron Percy,"79' 7"""
32,Boo Weekley,"80' 0"""
33,Stewart Cink,"80' 6"""
34,Andrew Svoboda,"80' 6"""
35,Luke Guthrie,"81' 0"""
36,Sangmoon Bae,"82' 4"""
37,Alex Cejka,"82' 4"""
38,Jon Curran,"82' 7"""
39,Henrik Stenson,"83' 8"""
40,Michael Putnam,"85' 5"""
41,Charles Howell III,"86' 0"""
42,Phil Mickelson,"88' 4"""
43,Matt Jones,"88' 5"""
44,Scott Piercy,"89' 1"""
45,Tim Wilkinson,"89' 11"""
46,Sam Saunders,"90' 10"""
47,Daniel Summerhays,"91' 2"""
48,Billy Horschel,"91' 8"""
49,Morgan Hoffmann,"91' 11"""
50,Derek Fathauer,"92' 0"""
51,Jordan Spieth,"92' 2"""
52,Jonathan Randolph,"92' 5"""
53,Brendon de Jonge,"93' 0"""
54,Hudson Swafford,"93' 0"""
55,S.J. Park,"96' 2"""
56,Erik Compton,"96' 3"""
57,Bryce Molder,"96' 4"""
58,Brandt Snedeker,"96' 11"""
59,Max Homa,"98' 10"""
60,Robert Garrigus,"99' 2"""
61,Greg Chalmers,"99' 6"""
62,Bo Van Pelt,"99' 7"""
63,Brooks Koepka,"99' 8"""
64,Keegan Bradley,"99' 10"""
65,Seung-Yul Noh,"100' 4"""
66,Gary Woodland,"100' 9"""
67,Colt Knost,"101' 1"""
68,Whee Kim,"101' 2"""
69,John Senden,"101' 2"""
70,Steven Alker,"101' 5"""
71,Andres Gonzales,"101' 5"""
72,Zac Blair,"101' 11"""
73,Matt Every,"102' 3"""
74,Sergio Garcia,"102' 6"""
75,Carlos Ortiz,"102' 7"""
76,Jeff Overton,"103' 7"""
77,Ricky Barnes,"103' 10"""
78,Danny Lee,"104' 8"""
79,Ryo Ishikawa,"104' 9"""
80,Jim Renner,"105' 7"""
81,Webb Simpson,"105' 10"""
82,Rory Sabbatini,"106' 5"""
83,Martin Flores,"106' 7"""
84,Charlie Beljan,"106' 9"""
85,Andres Romero,"107' 6"""
86,Bill Lunde,"107' 9"""
87,Chris Kirk,"108' 0"""
88,Martin Laird,"108' 0"""
89,D.A. Points,"108' 1"""
90,Daniel Berger,"108' 4"""
91,Roger Sloan,"109' 0"""
92,Geoff Ogilvy,"109' 2"""
93,Scott Brown,"109' 4"""
94,George McNeill,"109' 11"""
95,Fabian Gomez,"110' 6"""
96,Dustin Johnson,"110' 10"""
97,Luke Donald,"111' 4"""
98,Kevin Streelman,"112' 2"""
99,Troy Merritt,"112' 3"""
100,Jason Bohn,"112' 8"""
101,Ernie Els,"112' 11"""
102,John Huh,"113' 5"""
103,Spencer Levin,"113' 6"""
104,Jimmy Walker,"113' 6"""
105,Cameron Tringale,"113' 8"""
106,Padraig Harrington,"114' 0"""
107,Jason Dufner,"114' 7"""
108,Chesson Hadley,"115' 2"""
109,Zach Johnson,"115' 11"""
110,Gonzalo Fdez-Castano,"116' 0"""
111,Ken Duke,"116' 1"""
112,Nick Taylor,"116' 3"""
113,Patrick Reed,"116' 7"""
114,Jonathan Byrd,"116' 10"""
115,Aaron Baddeley,"117' 4"""
116,Chris Stroud,"117' 4"""
117,Byron Smith,"117' 7"""
118,Jhonattan Vegas,"118' 5"""
119,Robert Streb,"118' 8"""
120,Marc Leishman,"119' 11"""
121,Jim Herman,"120' 3"""
122,Jerry Kelly,"120' 9"""
123,Camilo Villegas,"122' 6"""
124,Vijay Singh,"122' 10"""
125,Lucas Glover,"123' 2"""
126,Tony Finau,"123' 10"""
127,Hunter Mahan,"124' 1"""
128,Scott Pinckney,"124' 2"""
129,Kevin Na,"124' 11"""
130,Chez Reavie,"124' 11"""
131,Kevin Chappell,"125' 3"""
132,Russell Henley,"126' 3"""
133,Russell Knox,"126' 6"""
134,Scott Stallings,"126' 6"""
135,Tom Hoge,"126' 7"""
136,Jamie Donaldson,"126' 8"""
137,Steven Bowditch,"126' 10"""
138,Scott Langley,"132' 4"""
139,David Lingmerth,"133' 8"""
140,David Hearn,"134' 6"""
141,Shawn Stefani,"134' 7"""
142,Bill Haas,"135' 0"""
143,Harris English,"135' 1"""
144,Tyrone Van Aswegen,"136' 10"""
145,Rickie Fowler,"138' 4"""
146,Jason Gore,"141' 6"""
147,Robert Allenby,"141' 7"""
148,Charl Schwartzel,"141' 8"""
149,Ian Poulter,"142' 7"""
150,Brian Davis,"148' 2"""
151,J.J. Henry,"152' 10"""
152,Michael Thompson,"154' 0"""
153,Retief Goosen,"157' 0"""
154,Carl Pettersson,"160' 1"""
155,Ben Crane,"161' 2"""
156,Steve Wheatcroft,"162' 4"""
157,Adam Scott,"165' 7"""
158,Jason Kokrak,"166' 10"""
159,Oscar Fraustro,"176' 0"""
