,PLAYER NAME,AVG
0,Bubba Watson,149.8
1,Dustin Johnson,156.6
2,Patrick Rodgers,157.5
3,Jason Day,157.7
4,J.B. Holmes,161.4
5,Brooks Koepka,163.3
6,Jason Kokrak,164.2
7,Ryan Palmer,164.2
8,Tony Finau,164.3
9,Adam Scott,165.2
10,Charlie Beljan,165.6
11,Justin Thomas,165.7
12,Steven Bowditch,166.4
13,Charley Hoffman,166.7
14,Derek Ernst,167.8
15,Jimmy Walker,167.8
16,Robert Garrigus,167.9
17,Charles Howell III,167.9
18,Russell Henley,168.9
19,Martin Flores,169.1
20,Morgan Hoffmann,169.4
21,Carlos Ortiz,169.4
22,Robert Streb,169.4
23,Sergio Garcia,169.7
24,Cameron Percy,169.8
25,Scott Piercy,169.8
26,Billy Horschel,170.0
27,Gary Woodland,170.0
28,Brian Harman,170.1
29,Daniel Berger,170.3
30,Angel Cabrera,170.3
31,Willy Wilcox,170.4
32,Paul Casey,170.7
33,Tom Hoge,170.8
34,Martin Laird,170.8
35,Lucas Glover,170.9
36,Bill Lunde,170.9
37,Hunter Mahan,170.9
38,Boo Weekley,170.9
39,Max Homa,171.0
40,Justin Rose,171.0
41,Davis Love III,171.1
42,Charl Schwartzel,171.1
43,Matt Jones,171.2
44,Roger Sloan,171.3
45,Keegan Bradley,171.4
46,Byron Smith,171.4
47,Louis Oosthuizen,171.5
48,Jhonattan Vegas,171.5
49,Nick Taylor,171.6
50,Harris English,171.7
51,Shawn Stefani,171.9
52,Hudson Swafford,172.0
53,Graham DeLaet,172.2
54,Hideki Matsuyama,172.2
55,Brendan Steele,172.2
56,Oscar Fraustro,172.3
57,Seung-Yul Noh,172.5
58,Phil Mickelson,172.7
59,Jason Gore,172.8
60,Carl Pettersson,172.8
61,Patrick Reed,172.8
62,Nick Watney,172.8
63,Eric Axley,172.9
64,David Lingmerth,173.0
65,Sean O'Hair,173.0
66,Kevin Streelman,173.1
67,James Hahn,173.2
68,Rory Sabbatini,173.3
69,Johnson Wagner,173.4
70,Marc Leishman,173.5
71,Alex Prugh,173.5
72,Scott Pinckney,173.7
73,Kevin Chappell,173.8
74,Greg Owen,173.8
75,Webb Simpson,173.8
76,Aaron Baddeley,173.9
77,Jordan Spieth,173.9
78,Jeff Overton,174.1
79,Andres Gonzales,174.2
80,Sam Saunders,174.2
81,Scott Brown,174.3
82,Stewart Cink,174.3
83,Matt Kuchar,174.3
84,Jim Herman,174.4
85,Vijay Singh,174.4
86,Ernie Els,174.6
87,Chesson Hadley,174.8
88,Chez Reavie,174.8
89,Sangmoon Bae,175.0
90,J.J. Henry,175.0
91,Ben Martin,175.0
92,Kyle Reifers,175.1
93,Camilo Villegas,175.3
94,Rickie Fowler,175.4
95,Lee Westwood,175.7
96,Geoff Ogilvy,175.8
97,Scott Stallings,175.8
98,Steve Wheatcroft,175.8
99,Matt Every,175.9
100,Roberto Castro,176.1
101,Derek Fathauer,176.1
102,Ryo Ishikawa,176.1
103,Brandt Snedeker,176.1
104,Gonzalo Fdez-Castano,176.4
105,Bo Van Pelt,176.4
106,John Senden,176.5
107,Michael Thompson,176.5
108,Bill Haas,176.6
109,Andres Romero,176.6
110,Chris Kirk,176.8
111,Brice Garnett,177.1
112,Zach Johnson,177.1
113,Kevin Kisner,177.2
114,Blayne Barber,177.3
115,Adam Hadwin,177.4
116,Jonathan Randolph,177.6
117,Tyrone Van Aswegen,177.7
118,Fabian Gomez,177.9
119,Daniel Summerhays,177.9
120,Nicholas Thompson,177.9
121,Robert Allenby,178.0
122,Jonas Blixt,178.0
123,John Peterson,178.0
124,Spencer Levin,178.1
125,Andrew Svoboda,178.1
126,S.J. Park,178.3
127,Erik Compton,178.5
128,Jason Dufner,178.5
129,Brendon de Jonge,178.7
130,Padraig Harrington,178.8
131,Jim Renner,179.1
132,Russell Knox,179.5
133,Retief Goosen,179.7
134,Michael Putnam,179.7
135,John Merrick,179.9
136,Henrik Stenson,179.9
137,William McGirt,180.2
138,Steven Alker,180.3
139,Jonathan Byrd,180.3
140,Chad Campbell,180.3
141,Whee Kim,180.3
142,Danny Lee,180.5
143,Jerry Kelly,180.6
144,Ken Duke,180.9
145,George McNeill,180.9
146,Luke Guthrie,181.0
147,Mark Hubbard,181.1
148,Scott Langley,181.1
149,Chris Stroud,181.1
150,Pat Perez,181.2
151,Troy Merritt,181.3
152,Brendon Todd,181.3
153,Alex Cejka,181.5
154,Ricky Barnes,181.7
155,Ian Poulter,181.7
156,Jason Bohn,182.2
157,Mark Wilson,182.3
158,Greg Chalmers,182.5
159,Tim Wilkinson,182.6
160,Jamie Donaldson,182.7
161,Heath Slocum,182.8
162,David Hearn,183.6
163,Chad Collins,184.0
164,Brian Stuard,184.2
165,Colt Knost,184.3
166,Bryce Molder,184.4
167,Ryan Moore,184.5
168,Cameron Tringale,184.5
169,Kevin Na,184.7
170,Luke Donald,184.8
171,Brian Davis,185.5
172,Jim Furyk,185.5
173,Zac Blair,185.6
174,Francesco Molinari,185.8
175,Andrew Putnam,185.8
176,John Huh,186.1
177,D.A. Points,186.7
178,Ben Crane,187.3
179,Jon Curran,187.4
180,Billy Hurley III,188.6
181,David Toms,188.9
182,Justin Leonard,189.2
183,K.J. Choi,190.1
