,PLAYER NAME,AVG
0,Heath Slocum,"94' 9"""
1,Jim Renner,"84' 7"""
2,Fabian Gomez,"84' 4"""
3,Sangmoon Bae,"78' 6"""
4,Brian Harman,"73' 10"""
5,Pat Perez,"72' 1"""
6,D.A. Points,"71' 11"""
7,Matt Kuchar,"69' 6"""
8,Kevin Kisner,"69' 3"""
9,Brooks Koepka,"64' 0"""
10,Kevin Chappell,"62' 8"""
11,Cameron Percy,"60' 11"""
12,Michael Thompson,"58' 2"""
13,Ken Duke,"57' 7"""
14,Steve Wheatcroft,"57' 7"""
15,Scott Brown,"55' 9"""
16,Justin Rose,"55' 7"""
17,John Merrick,"55' 1"""
18,Chesson Hadley,"54' 9"""
19,Shawn Stefani,"54' 4"""
20,Louis Oosthuizen,"53' 11"""
21,Sean O'Hair,"53' 4"""
22,Oscar Fraustro,"53' 2"""
23,Seung-Yul Noh,"52' 6"""
24,George McNeill,"50' 11"""
25,Derek Ernst,"47' 10"""
26,Max Homa,"46' 4"""
27,Russell Knox,"43' 9"""
28,Scott Stallings,"43' 8"""
29,Derek Fathauer,"43' 5"""
30,Nicholas Thompson,"43' 5"""
31,Luke Donald,"40' 8"""
32,Marc Leishman,"39' 9"""
33,Matt Every,"37' 11"""
34,Adam Scott,"37' 7"""
35,Brendon de Jonge,"37' 2"""
36,Cameron Tringale,"36' 2"""
37,Jon Curran,"35' 8"""
38,Jeff Overton,"35' 7"""
39,Andrew Putnam,"35' 3"""
40,Charlie Beljan,"34' 11"""
41,Justin Thomas,"34' 5"""
42,Eric Axley,"33' 6"""
43,Dustin Johnson,"33' 4"""
44,Ernie Els,"32' 3"""
45,Hideki Matsuyama,"30' 11"""
46,Steven Bowditch,"30' 9"""
47,Billy Horschel,"29' 11"""
48,Brandt Snedeker,"29' 7"""
49,Blayne Barber,"28' 5"""
50,Danny Lee,"28' 5"""
51,Stewart Cink,"28' 0"""
52,Kevin Na,"27' 6"""
53,Nick Watney,"26' 0"""
54,Zac Blair,"25' 1"""
55,David Lingmerth,"25' 0"""
56,Ian Poulter,"23' 11"""
57,Scott Pinckney,"22' 10"""
58,Andres Gonzales,"22' 0"""
59,Padraig Harrington,"21' 9"""
60,Martin Flores,"19' 7"""
61,Brian Davis,"19' 6"""
62,S.J. Park,"19' 4"""
63,Camilo Villegas,"19' 2"""
64,Kevin Streelman,"18' 5"""
65,Lucas Glover,"17' 6"""
66,Mark Wilson,"17' 0"""
67,Chris Stroud,"16' 8"""
68,Greg Owen,"16' 3"""
69,Brendon Todd,"14' 10"""
70,Geoff Ogilvy,"14' 2"""
71,Charley Hoffman,"13' 11"""
72,Jerry Kelly,"8' 9"""
73,Adam Hadwin,"6' 10"""
