,PLAYER NAME,AVG
0,Francesco Molinari,"12' 9"""
1,Justin Rose,"12' 9"""
2,Andrew Putnam,"13' 5"""
3,Roberto Castro,"13' 8"""
4,Michael Putnam,"13' 8"""
5,Jim Renner,"13' 8"""
6,Stewart Cink,"13' 9"""
7,Rickie Fowler,"13' 9"""
8,J.B. Holmes,"13' 10"""
9,Justin Leonard,"13' 11"""
10,Colt Knost,"14' 1"""
11,Ken Duke,"14' 4"""
12,Ernie Els,"14' 4"""
13,Justin Thomas,"14' 5"""
14,Ryo Ishikawa,"14' 6"""
15,Alex Prugh,"14' 7"""
16,Derek Fathauer,"14' 8"""
17,Greg Owen,"14' 8"""
18,Webb Simpson,"14' 8"""
19,Zach Johnson,"14' 9"""
20,Kyle Reifers,"14' 11"""
21,Jon Curran,"15' 0"""
22,Scott Pinckney,"15' 0"""
23,Ryan Moore,"15' 1"""
24,Brice Garnett,"15' 2"""
25,D.A. Points,"15' 2"""
26,Nick Watney,"15' 3"""
27,Eric Axley,"15' 4"""
28,Martin Laird,"15' 4"""
29,Danny Lee,"15' 4"""
30,Roger Sloan,"15' 4"""
31,Alex Cejka,"15' 5"""
32,Bill Lunde,"15' 5"""
33,Louis Oosthuizen,"15' 5"""
34,Heath Slocum,"15' 6"""
35,Brandt Snedeker,"15' 6"""
36,Chris Stroud,"15' 6"""
37,Phil Mickelson,"15' 7"""
38,Lucas Glover,"15' 8"""
39,Nick Taylor,"15' 9"""
40,Cameron Tringale,"15' 9"""
41,Jamie Donaldson,"15' 10"""
42,Jason Dufner,"15' 10"""
43,Russell Henley,"15' 10"""
44,Greg Chalmers,"15' 11"""
45,Steven Alker,"16' 1"""
46,Ryan Palmer,"16' 1"""
47,Sam Saunders,"16' 1"""
48,Adam Scott,"16' 1"""
49,Charley Hoffman,"16' 2"""
50,Jason Bohn,"16' 3"""
51,Billy Hurley III,"16' 3"""
52,Ricky Barnes,"16' 4"""
53,Scott Brown,"16' 4"""
54,Rory Sabbatini,"16' 4"""
55,Vijay Singh,"16' 4"""
56,Jason Day,"16' 5"""
57,Sergio Garcia,"16' 5"""
58,Jeff Overton,"16' 5"""
59,K.J. Choi,"16' 6"""
60,Scott Langley,"16' 6"""
61,Hunter Mahan,"16' 6"""
62,Brendon Todd,"16' 6"""
63,Brendon de Jonge,"16' 7"""
64,Oscar Fraustro,"16' 7"""
65,Andres Gonzales,"16' 7"""
66,Tom Hoge,"16' 7"""
67,Patrick Reed,"16' 7"""
68,Hudson Swafford,"16' 7"""
69,Chad Campbell,"16' 8"""
70,Luke Guthrie,"16' 8"""
71,Shawn Stefani,"16' 8"""
72,Kevin Streelman,"16' 8"""
73,Ben Crane,"16' 9"""
74,Matt Every,"16' 9"""
75,David Hearn,"16' 9"""
76,Scott Piercy,"16' 9"""
77,Luke Donald,"16' 10"""
78,Jerry Kelly,"16' 10"""
79,David Toms,"16' 10"""
80,Tim Wilkinson,"16' 10"""
81,Daniel Berger,"16' 11"""
82,Bo Van Pelt,"16' 11"""
83,Fabian Gomez,"17' 0"""
84,Jim Herman,"17' 0"""
85,Mark Hubbard,"17' 0"""
86,William McGirt,"17' 0"""
87,Robert Allenby,"17' 1"""
88,Blayne Barber,"17' 1"""
89,Paul Casey,"17' 1"""
90,Matt Jones,"17' 1"""
91,Matt Kuchar,"17' 1"""
92,Sean O'Hair,"17' 1"""
93,Carl Pettersson,"17' 1"""
94,Boo Weekley,"17' 1"""
95,Jonathan Byrd,"17' 2"""
96,Tony Finau,"17' 2"""
97,Patrick Rodgers,"17' 2"""
98,Camilo Villegas,"17' 2"""
99,Zac Blair,"17' 4"""
100,Bill Haas,"17' 4"""
101,Ben Martin,"17' 4"""
102,Seung-Yul Noh,"17' 4"""
103,Pat Perez,"17' 4"""
104,David Lingmerth,"17' 6"""
105,George McNeill,"17' 6"""
106,James Hahn,"17' 7"""
107,Brian Stuard,"17' 7"""
108,Tyrone Van Aswegen,"17' 7"""
109,Russell Knox,"17' 8"""
110,Whee Kim,"17' 9"""
111,Bryce Molder,"17' 9"""
112,John Huh,"17' 10"""
113,Cameron Percy,"17' 10"""
114,Henrik Stenson,"17' 10"""
115,Chad Collins,"17' 11"""
116,Martin Flores,"17' 11"""
117,Max Homa,"17' 11"""
118,Mark Wilson,"17' 11"""
119,Billy Horschel,"18' 0"""
120,Charles Howell III,"18' 0"""
121,Hideki Matsuyama,"18' 0"""
122,Aaron Baddeley,"18' 1"""
123,Robert Garrigus,"18' 1"""
124,Brian Harman,"18' 1"""
125,Steve Wheatcroft,"18' 1"""
126,Daniel Summerhays,"18' 3"""
127,Jonas Blixt,"18' 4"""
128,Gonzalo Fdez-Castano,"18' 4"""
129,Byron Smith,"18' 4"""
130,Chez Reavie,"18' 5"""
131,Nicholas Thompson,"18' 5"""
132,Andrew Svoboda,"18' 6"""
133,Jhonattan Vegas,"18' 6"""
134,Sangmoon Bae,"18' 7"""
135,Kevin Kisner,"18' 8"""
136,Steven Bowditch,"18' 9"""
137,Brian Davis,"18' 9"""
138,Graham DeLaet,"18' 9"""
139,Retief Goosen,"18' 9"""
140,John Peterson,"18' 9"""
141,Jimmy Walker,"18' 9"""
142,Charlie Beljan,"18' 10"""
143,Kevin Na,"18' 10"""
144,John Senden,"18' 10"""
145,Jordan Spieth,"18' 11"""
146,Adam Hadwin,"19' 0"""
147,Dustin Johnson,"19' 0"""
148,Chris Kirk,"19' 0"""
149,Michael Thompson,"19' 1"""
150,Erik Compton,"19' 3"""
151,Chesson Hadley,"19' 4"""
152,Charl Schwartzel,"19' 5"""
153,Jim Furyk,"19' 6"""
154,Padraig Harrington,"19' 6"""
155,S.J. Park,"19' 6"""
156,Brendan Steele,"19' 6"""
157,Brooks Koepka,"19' 7"""
158,Kevin Chappell,"19' 8"""
159,Harris English,"19' 8"""
160,Willy Wilcox,"19' 8"""
161,Jason Kokrak,"19' 9"""
162,Carlos Ortiz,"19' 9"""
163,Andres Romero,"19' 9"""
164,Robert Streb,"19' 9"""
165,Johnson Wagner,"19' 9"""
166,Ian Poulter,"19' 10"""
167,Spencer Levin,"20' 1"""
168,Morgan Hoffmann,"20' 2"""
169,Geoff Ogilvy,"20' 2"""
170,Bubba Watson,"20' 2"""
171,Gary Woodland,"20' 2"""
172,Lee Westwood,"20' 3"""
173,Derek Ernst,"20' 5"""
174,J.J. Henry,"20' 8"""
175,Troy Merritt,"20' 10"""
176,Marc Leishman,"20' 11"""
177,Scott Stallings,"21' 0"""
178,Jonathan Randolph,"21' 2"""
179,John Merrick,"21' 4"""
180,Jason Gore,"21' 9"""
181,Keegan Bradley,"22' 3"""
182,Angel Cabrera,"22' 4"""
183,Davis Love III,"30' 11"""
