,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
34,35,35,Lee Westwood,57,"59' 10""","1,255.833",21,-10
35,T36,T36,Sean O'Hair,77,"60' 0""","1,139.417",19,-9
36,T36,T36,Webb Simpson,87,"60' 0""","1,500.083",25,-15
37,T38,T38,Martin Kaymer,65,"60' 5""","1,571.750",26,-12
38,T38,T38,Daniel Summerhays,98,"60' 5""","2,538.917",42,-19
39,40,40,Matt Every,85,"60' 6""","1,390.750",23,-13
40,41,41,Scott Stallings,77,"60' 7""","1,392.583",23,-8
41,42,42,Dustin Johnson,58,"60' 8""",424.917,7,-3
42,T43,T43,Steven Bowditch,93,"60' 10""","1,764.250",29,-21
43,T43,T43,Michael Thompson,74,"60' 10""","1,095.000",18,-10
44,45,45,Stewart Cink,91,"61' 2""","1,529.167",25,-11
45,46,46,Jason Bohn,81,"61' 4""","1,594.333",26,-16
46,47,47,Ernie Els,85,"61' 8""","1,789.000",29,-13
47,48,48,Brice Garnett,92,"61' 9""","1,297.500",21,-11
48,T49,T49,Will MacKenzie,82,"61' 11""","2,043.417",33,-15
49,T49,T49,George McNeill,79,"61' 11""","1,425.000",23,-14
50,51,51,Kevin Chappell,100,"62' 0""","2,355.333",38,-27
51,T52,T52,Luke Donald,57,"62' 3""","1,244.583",20,-10
52,T52,T52,James Driscoll,71,"62' 3""","1,120.250",18,-12
53,54,54,Jeff Overton,80,"62' 5""","1,060.583",17,-7
54,T55,T55,Sergio Garcia,61,"62' 6""",562.750,9,-3
55,T55,T55,Hudson Swafford,75,"62' 6""","1,625.750",26,-15
56,57,57,Justin Hicks,103,"62' 10""","1,946.917",31,-12
57,58,58,John Rollins,84,"62' 11""","1,069.083",17,-6
58,59,59,Kevin Kisner,85,"63' 0""","1,637.167",26,-10
59,60,60,Ian Poulter,57,"63' 3""",885.750,14,-10
60,61,61,Ken Duke,80,"63' 4""","2,407.750",38,-26
61,62,62,Jonathan Byrd,76,"63' 7""","1,017.333",16,-9
62,63,63,Rory Sabbatini,82,"63' 8""","1,527.750",24,-8
63,64,64,Gonzalo Fdez-Castano,83,"63' 9""","2,230.167",35,-12
64,65,65,Chesson Hadley,84,"64' 3""","1,349.250",21,-11
65,66,66,Davis Love III,74,"64' 5""",837.750,13,-4
66,67,67,Robert Streb,75,"64' 6""","1,484.417",23,-10
67,68,68,Kevin Tway,64,"64' 10""","1,296.917",20,-5
68,69,69,Robert Garrigus,80,"65' 3""","2,021.583",31,-19
69,T70,T70,Morgan Hoffmann,103,"65' 4""","2,221.083",34,-22
70,T70,T70,Charles Howell III,106,"65' 4""","1,894.250",29,-18
71,T70,T70,Bubba Watson,76,"65' 4""","1,241.083",19,-7
72,T73,T73,Roberto Castro,76,"65' 7""","1,704.083",26,-18
73,T73,T73,Bill Haas,107,"65' 7""","2,559.250",39,-17
74,75,75,Brian Stuard,91,"65' 8""","1,248.333",19,-11
75,76,76,Kevin Stadler,90,"65' 9""","1,839.833",28,-15
76,T77,T77,Brendon de Jonge,109,"66' 0""","2,375.583",36,-22
77,T77,T77,Rickie Fowler,91,"66' 0""","1,715.833",26,-10
78,T77,T77,Gary Woodland,93,"66' 0""","1,715.750",26,-9
79,80,80,"Ted Potter, Jr.",68,"66' 1""","1,718.833",26,-9
80,T81,T81,Angel Cabrera,69,"66' 6""","1,729.333",26,-11
81,T81,T81,Brandt Snedeker,89,"66' 6""","1,530.333",23,-9
82,83,83,Greg Chalmers,85,"66' 7""","1,998.333",30,-14
83,T84,T84,Jamie Lovemark,64,"66' 11""","1,004.083",15,-6
84,T84,T84,Heath Slocum,71,"66' 11""","1,739.583",26,-14
85,86,86,Jason Day,54,"67' 0""",669.917,10,-5
86,87,87,Scott Langley,95,"67' 4""","2,423.250",36,-23
87,88,88,Vijay Singh,83,"67' 5""","2,156.083",32,-19
88,89,89,Jimmy Walker,98,"67' 9""","1,354.750",20,-10
89,T90,T90,Jim Furyk,84,"67' 10""","1,491.750",22,-3
90,T90,T90,Bryce Molder,77,"67' 10""",881.500,13,-5
91,T90,T90,Andres Romero,81,"67' 10""","1,628.583",24,-7
92,93,93,J.B. Holmes,86,"68' 3""","1,637.333",24,-7
93,T94,T94,Derek Ernst,80,"68' 7""","1,921.417",28,-11
94,T94,T94,Phil Mickelson,71,"68' 7""","2,057.250",30,-12
95,T96,T96,Woody Austin,63,"68' 8""","1,716.083",25,-10
96,T96,T96,Brooks Koepka,56,"68' 8""",686.250,10,-6
97,T96,T96,Shawn Stefani,60,"68' 8""","1,784.833",26,-19
98,99,99,Kevin Na,94,"68' 9""","2,269.083",33,-18
99,T100,T100,Ryo Ishikawa,75,"69' 0""","1,518.333",22,-17
100,T100,T100,Nick Watney,80,"69' 0""","1,518.500",22,-11
101,102,102,Tim Wilkinson,86,"69' 1""","1,451.083",21,-9
102,103,103,Ben Curtis,77,"69' 2""","1,451.833",21,-13
103,104,104,Jonas Blixt,64,"69' 6""",695.083,10,-5
104,105,105,Freddie Jacobson,91,"69' 7""","1,808.417",26,-5
105,106,106,Graeme McDowell,66,"69' 8""",905.500,13,-8
106,107,107,Nicholas Thompson,85,"69' 9""","2,022.917",29,-15
107,108,108,Kyle Stanley,87,"69' 10""","2,653.917",38,-17
108,T109,T109,Scott Brown,100,"70' 1""","1,892.667",27,-9
109,T109,T109,Tyrone Van Aswegen,79,"70' 1""","1,262.083",18,-10
110,111,111,Andrew Loupe,65,"70' 3""",983.083,14,-5
111,T112,T112,Russell Knox,92,"70' 4""","1,618.333",23,-11
112,T112,T112,Kevin Streelman,79,"70' 4""","2,179.333",31,-10
113,114,114,K.J. Choi,80,"70' 8""","1,412.500",20,-15
114,115,115,Troy Matteson,62,"70' 9""",919.583,13,-7
115,116,116,Bronson La'Cassie,51,"70' 10""",921.250,13,-1
116,117,117,David Hearn,97,"70' 11""","1,631.917",23,-13
117,118,118,Jim Herman,62,"71' 0""","1,491.000",21,-5
118,T119,T119,Tommy Gainey,73,"71' 1""","1,493.583",21,-12
119,T119,T119,Adam Scott,68,"71' 1""","1,492.083",21,-10
120,T121,T121,Billy Hurley III,86,"71' 2""","1,494.917",21,-9
121,T121,T121,Jason Kokrak,65,"71' 2""","1,423.667",20,-11
122,123,123,Pat Perez,84,"71' 3""","1,496.000",21,-11
123,124,124,Bo Van Pelt,83,"71' 5""","1,713.250",24,-12
124,T125,T125,Brian Harman,111,"71' 6""","2,217.083",31,-13
125,T125,T125,Seung-Yul Noh,92,"71' 6""","1,430.083",20,-8
126,T125,T125,Ryan Palmer,85,"71' 6""","1,787.917",25,-9
127,T125,T125,Carl Pettersson,91,"71' 6""","2,145.417",30,-9
128,129,129,Luke Guthrie,85,"71' 7""","1,575.417",22,-17
129,130,130,Boo Weekley,73,"71' 8""","1,505.333",21,-8
130,131,131,J.J. Henry,91,"71' 9""","2,152.000",30,-13
131,132,132,John Merrick,87,"71' 10""","2,370.083",33,-13
132,T133,T133,Aaron Baddeley,74,"72' 1""","1,802.667",25,-10
133,T133,T133,John Huh,87,"72' 1""","1,946.417",27,-12
134,135,135,David Lingmerth,80,"72' 2""","1,660.000",23,-18
135,T136,T136,Billy Horschel,92,"72' 6""","1,812.583",25,-14
136,T136,T136,Richard Lee,80,"72' 6""","1,449.917",20,-10
137,T136,T136,Y.E. Yang,79,"72' 6""","2,175.667",30,-17
138,139,139,Mark Wilson,69,"72' 7""","2,249.250",31,-14
139,140,140,Erik Compton,88,"72' 10""","2,257.333",31,-12
140,T141,T141,Ben Crane,81,"73' 0""","1,825.083",25,-8
141,T141,T141,Spencer Levin,59,"73' 0""","1,167.750",16,-5
142,T141,T141,Geoff Ogilvy,84,"73' 0""","2,190.167",30,-12
143,144,144,Tim Clark,75,"73' 7""","1,030.083",14,-7
144,145,145,Hunter Mahan,88,"73' 8""","1,989.917",27,-14
145,146,146,Chad Campbell,57,"73' 9""",737.333,10,-2
146,147,147,Wes Roach,67,"74' 0""","1,701.333",23,-10
147,148,148,Matt Kuchar,91,"74' 1""","2,371.167",32,-14
148,149,149,Briny Baird,50,"74' 3""","1,038.917",14,-7
149,150,150,Martin Flores,85,"74' 4""","1,784.417",24,-5
150,T151,T151,Troy Merritt,62,"74' 5""",966.917,13,-3
151,T151,T151,Cameron Tringale,111,"74' 5""","3,124.417",42,-25
152,T153,T153,Justin Rose,70,"74' 7""","1,938.917",26,-14
153,T153,T153,Mike Weir,69,"74' 7""",820.333,11,-8
154,155,155,Russell Henley,92,"74' 8""","1,643.333",22,-7
155,156,156,Johnson Wagner,69,"76' 2""","1,371.417",18,-7
156,T157,T157,Ryan Moore,86,"76' 4""","2,519.417",33,-11
157,T157,T157,D.A. Points,75,"76' 4""","1,831.333",24,-3
158,159,159,Patrick Reed,92,"76' 8""","1,685.833",22,-7
159,160,160,Chad Collins,78,"76' 10""","1,460.583",19,-7
160,161,161,Trevor Immelman,84,"77' 8""","2,019.000",26,-15
161,162,162,Chris Stroud,88,"77' 9""","2,409.750",31,-18
162,T163,T163,Brian Gay,81,"78' 8""","1,415.417",18,-5
163,T163,T163,William McGirt,96,"78' 8""","2,122.917",27,-11
164,165,165,Brendon Todd,108,"79' 6""","1,192.000",15,-8
165,166,166,Jhonattan Vegas,77,"80' 0""","1,360.417",17,-8
166,167,167,Jerry Kelly,80,"80' 1""","1,362.000",17,-10
167,168,168,Stuart Appleby,92,"80' 10""","1,455.417",18,-7
168,169,169,Matt Jones,83,"82' 9""","2,068.750",25,-10
169,170,170,Retief Goosen,94,"83' 0""","2,324.000",28,-17
170,171,171,D.H. Lee,54,"83' 8""","1,672.750",20,-6
171,172,172,David Toms,64,"84' 2""","1,682.917",20,-12
172,173,173,Ricky Barnes,92,"85' 2""","1,617.917",19,-8
173,174,174,Jeff Maggert,54,"85' 4""","1,109.500",13,-5
174,175,175,Justin Leonard,75,"85' 7""",855.917,10,-7
175,176,176,Louis Oosthuizen,50,"86' 2""",603.417,7,-3
176,177,177,John Senden,99,"88' 0""","2,728.833",31,-12
