,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
0,1,1,Lucas Glover,68,"47' 5""",663.500,14,-5
1,2,2,Jordan Spieth,102,"47' 10""","1,244.667",26,-14
2,3,3,Marc Leishman,81,"51' 0""","1,224.417",24,-15
3,4,4,Charlie Beljan,76,"53' 1""",902.417,17,-12
4,5,5,Brendan Steele,89,"53' 5""","1,174.917",22,-11
5,6,6,Robert Allenby,83,"53' 8""","1,342.000",25,-11
6,7,7,Keegan Bradley,89,"53' 9""","1,505.500",28,-18
7,8,8,James Hahn,82,"54' 2""","1,408.167",26,-20
8,9,9,Graham DeLaet,80,"54' 5""","1,196.250",22,-9
9,10,10,Paul Casey,56,"54' 11""",768.250,14,-9
10,11,11,John Peterson,62,"55' 0""","1,209.583",22,-8
11,12,12,Michael Putnam,106,"55' 2""","2,042.667",37,-17
12,13,13,Harris English,95,"55' 3""","1,271.250",23,-14
13,14,14,Martin Laird,66,"55' 7""","1,556.667",28,-16
14,15,15,Charl Schwartzel,64,"56' 2""","1,235.750",22,-11
15,T16,T16,Danny Lee,84,"56' 4""","1,465.500",26,-18
16,T16,T16,Hideki Matsuyama,82,"56' 4""","1,577.000",28,-12
17,T18,T18,Brad Fritsch,50,"56' 6""",678.333,12,-6
18,T18,T18,Ben Martin,80,"56' 6""","1,016.333",18,-10
19,20,20,Chris Kirk,105,"56' 10""","1,819.333",32,-17
20,21,21,Charlie Wi,72,"57' 2""","1,257.917",22,-13
21,22,22,Jason Dufner,57,"57' 3""","1,087.250",19,-8
22,T23,T23,Jim Renner,61,"57' 7""",863.333,15,-7
23,T23,T23,Andrew Svoboda,77,"57' 7""","1,325.167",23,-10
24,25,25,Will Wilcox,51,"58' 8""",586.417,10,-7
25,26,26,Brian Davis,93,"58' 9""","1,881.250",32,-26
26,T27,T27,Bud Cauley,56,"58' 11""","1,002.000",17,-8
27,T27,T27,Zach Johnson,97,"58' 11""","2,122.167",36,-13
28,29,29,Sangmoon Bae,76,"59' 0""","1,829.667",31,-16
29,30,30,Henrik Stenson,56,"59' 2""","1,183.167",20,-6
30,T31,T31,Josh Teater,90,"59' 4""","1,365.250",23,-11
31,T31,T31,Camilo Villegas,95,"59' 4""","1,364.000",23,-9
32,33,33,Charley Hoffman,93,"59' 7""","1,429.667",24,-12
33,34,34,Rory McIlroy,66,"59' 8""","1,013.917",17,-6
