,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
79,T78,T78,Daniel Summerhays,98,"35' 2""","1,864.417",53,-2
80,81,81,Kevin Stadler,90,"35' 3""","1,093.583",31,+5
81,T82,T82,Sangmoon Bae,76,"35' 4""","1,201.917",34,+5
82,T82,T82,Michael Putnam,106,"35' 4""","2,331.333",66,+12
83,84,84,Brian Stuard,91,"35' 5""","1,735.667",49,-1
84,T85,T85,Robert Garrigus,80,"35' 6""","2,875.583",81,+7
85,T85,T85,J.B. Holmes,86,"35' 6""","2,127.750",60,+6
86,T87,T87,Roberto Castro,76,"35' 7""","1,279.917",36,+3
87,T87,T87,Martin Laird,66,"35' 7""","1,281.250",36,-3
88,T89,T89,Steven Bowditch,93,"35' 8""","2,067.417",58,+7
89,T89,T89,Louis Oosthuizen,50,"35' 8""",927.500,26,+11
90,91,91,Jason Dufner,57,"35' 9""","1,180.000",33,+8
91,92,92,Dustin Johnson,58,"35' 10""","1,362.167",38,+13
92,T93,T93,Ricky Barnes,92,"35' 11""","2,406.750",67,-2
93,T93,T93,Jonathan Byrd,76,"35' 11""","2,081.083",58,+7
94,T93,T93,Harris English,95,"35' 11""","2,011.500",56,+7
95,T96,T96,Bud Cauley,56,"36' 0""","1,367.833",38,+2
96,T96,T96,Retief Goosen,94,"36' 0""","1,905.833",53,+4
97,T96,T96,William McGirt,96,"36' 0""","2,088.333",58,+8
98,99,99,Robert Streb,75,"36' 2""","2,027.083",56,+3
99,T100,T100,James Hahn,82,"36' 3""","1,522.167",42,+3
100,T100,T100,Rory Sabbatini,82,"36' 3""","2,140.417",59,+9
101,T100,T100,Cameron Tringale,111,"36' 3""","2,679.667",74,+12
102,T103,T103,Aaron Baddeley,74,"36' 4""","1,417.000",39,+3
103,T103,T103,Greg Chalmers,85,"36' 4""","1,817.917",50,+3
104,T103,T103,Brendan Steele,89,"36' 4""","1,962.167",54,+10
105,T106,T106,Hunter Mahan,88,"36' 6""","1,644.250",45,+4
106,T106,T106,Sean O'Hair,77,"36' 6""","1,972.500",54,+7
107,T108,T108,Billy Horschel,92,"36' 7""","1,572.167",43,E
108,T108,T108,Lee Westwood,57,"36' 7""",951.667,26,+4
109,110,110,Morgan Hoffmann,103,"36' 8""","2,752.167",75,+15
110,111,111,Boo Weekley,73,"36' 10""","1,363.583",37,+2
111,112,112,Jhonattan Vegas,77,"37' 0""","1,444.417",39,+2
112,T113,T113,Pat Perez,84,"37' 1""","1,595.667",43,+4
113,T113,T113,John Senden,99,"37' 1""","2,002.417",54,+2
114,T115,T115,David Hearn,97,"37' 3""","1,528.500",41,+16
115,T115,T115,Brandt Snedeker,89,"37' 3""","1,677.167",45,+5
116,T117,T117,Brian Gay,81,"37' 4""","1,492.417",40,+9
117,T117,T117,Ryan Palmer,85,"37' 4""","2,128.333",57,E
118,T119,T119,J.J. Henry,91,"37' 5""","2,581.333",69,+1
119,T119,T119,Kevin Kisner,85,"37' 5""","1,571.917",42,+9
120,T119,T119,Davis Love III,74,"37' 5""","1,984.583",53,+2
121,T119,T119,Andres Romero,81,"37' 5""","2,506.250",67,+6
122,T123,T123,Charlie Beljan,76,"37' 7""","1,802.583",48,+7
123,T123,T123,Freddie Jacobson,91,"37' 7""","2,140.000",57,+8
124,T125,T125,Brad Fritsch,50,"37' 8""","1,506.083",40,+5
125,T125,T125,Justin Hicks,103,"37' 8""","1,845.333",49,+8
126,T127,T127,Stuart Appleby,92,"37' 9""","2,225.083",59,+6
127,T127,T127,Bill Haas,107,"37' 9""","2,038.167",54,+10
128,T127,T127,Zach Johnson,97,"37' 9""","1,434.333",38,+1
129,T130,T130,Derek Ernst,80,"37' 10""","1,927.583",51,+6
130,T130,T130,D.H. Lee,54,"37' 10""",982.667,26,+3
131,T130,T130,Hudson Swafford,75,"37' 10""","1,852.333",49,+6
132,T130,T130,Kevin Tway,64,"37' 10""","1,209.667",32,+9
133,134,134,Geoff Ogilvy,84,"37' 11""","2,311.917",61,+2
134,135,135,Ian Poulter,57,"38' 0""","1,026.667",27,+3
135,136,136,Danny Lee,84,"38' 1""","1,674.750",44,+4
136,T137,T137,Rickie Fowler,91,"38' 2""","1,488.167",39,+4
137,T137,T137,Jim Herman,62,"38' 2""","1,487.750",39,+4
138,139,139,Graeme McDowell,66,"38' 3""",955.250,25,E
139,140,140,Johnson Wagner,69,"38' 4""","1,687.500",44,+4
140,T141,T141,Chad Campbell,57,"38' 5""","1,346.000",35,+2
141,T141,T141,Adam Scott,68,"38' 5""","1,538.000",40,+3
142,T141,T141,Mark Wilson,69,"38' 5""",998.750,26,+5
143,T144,T144,Ben Crane,81,"38' 7""","1,505.167",39,+2
144,T144,T144,Kyle Stanley,87,"38' 7""","2,893.583",75,+15
145,146,146,Camilo Villegas,95,"38' 9""","2,249.167",58,+12
146,T147,T147,Kevin Chappell,100,"38' 10""","1,785.250",46,+10
147,T147,T147,"Ted Potter, Jr.",68,"38' 10""","1,708.000",44,+9
148,T149,T149,Russell Knox,92,"38' 11""","1,791.333",46,+4
149,T149,T149,Webb Simpson,87,"38' 11""","1,557.750",40,-1
150,T151,T151,John Huh,87,"39' 2""","1,997.333",51,+10
151,T151,T151,Will Wilcox,51,"39' 2""","1,137.000",29,+4
152,T153,T153,Will MacKenzie,82,"39' 6""","2,213.083",56,+4
153,T153,T153,Mike Weir,69,"39' 6""","1,304.500",33,+4
154,155,155,Brice Garnett,92,"39' 7""","2,455.750",62,+6
155,156,156,Russell Henley,92,"39' 10""","2,150.250",54,+11
156,157,157,Gary Woodland,93,"40' 2""","1,889.667",47,+12
157,T158,T158,Chris Kirk,105,"40' 7""","2,436.500",60,+8
158,T158,T158,Justin Leonard,75,"40' 7""","1,298.083",32,+15
159,160,160,Erik Compton,88,"40' 8""","1,463.250",36,+9
160,161,161,Matt Jones,83,"40' 9""","2,036.917",50,+10
161,162,162,Ben Martin,80,"40' 11""","1,760.750",43,+4
162,163,163,Gonzalo Fdez-Castano,83,"41' 0""","1,638.500",40,+4
163,164,164,Ernie Els,85,"41' 1""","1,807.833",44,+11
164,165,165,Charl Schwartzel,64,"41' 5""","1,533.583",37,+4
165,166,166,Keegan Bradley,89,"41' 8""","2,043.583",49,+5
166,167,167,Luke Donald,57,"41' 9""",917.583,22,+2
167,168,168,Heath Slocum,71,"41' 10""","1,548.917",37,-3
168,169,169,Patrick Reed,92,"42' 5""","2,375.000",56,+5
169,170,170,Henrik Stenson,56,"42' 9""",727.167,17,+3
170,171,171,Troy Matteson,62,"42' 10""","2,142.417",50,+14
171,172,172,Bronson La'Cassie,51,"43' 0""","1,290.917",30,+4
172,173,173,Richard Lee,80,"43' 1""","1,939.833",45,+3
173,174,174,D.A. Points,75,"43' 4""","1,516.083",35,+14
174,175,175,Nicholas Thompson,85,"44' 4""","1,996.500",45,+18
175,176,176,Ben Curtis,77,"46' 6""","1,953.250",42,+9
176,177,177,Tommy Gainey,73,"46' 7""","2,001.583",43,+10
