,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
0,1,1,Andrew Svoboda,77,"27' 6""",770.417,28,-3
1,2,2,Ken Duke,80,"27' 7""",966.417,35,+2
2,T3,T3,Brooks Koepka,56,"27' 10""","1,254.167",45,E
3,T3,T3,George McNeill,79,"27' 10""","1,003.083",36,+4
4,5,5,Woody Austin,63,"28' 1""","1,122.583",40,-3
5,6,6,Jamie Lovemark,64,"28' 2""","1,322.500",47,+7
6,7,7,Shawn Stefani,60,"28' 4""","1,189.167",42,-3
7,8,8,Nick Watney,80,"28' 7""","1,086.417",38,+4
8,9,9,Charley Hoffman,93,"29' 2""","1,602.333",55,+7
9,T10,T10,Trevor Immelman,84,"29' 8""","1,156.417",39,+5
10,T10,T10,Jim Renner,61,"29' 8""","1,246.167",42,+5
11,12,12,Jason Bohn,81,"30' 1""","1,716.333",57,-6
12,13,13,Charlie Wi,72,"30' 4""","1,699.000",56,-7
13,T14,T14,Robert Allenby,83,"30' 7""","1,650.833",54,+1
14,T14,T14,Jason Kokrak,65,"30' 7""","1,528.750",50,E
15,T16,T16,Hideki Matsuyama,82,"30' 9""","1,444.500",47,-3
16,T16,T16,David Toms,64,"30' 9""",984.667,32,-1
17,18,18,Seung-Yul Noh,92,"30' 10""","1,419.500",46,+2
18,19,19,John Rollins,84,"31' 1""","1,800.583",58,+7
19,20,20,Vijay Singh,83,"31' 2""","1,432.250",46,+3
20,21,21,Troy Merritt,62,"31' 5""","1,069.000",34,+6
21,22,22,Scott Stallings,77,"31' 8""","1,774.083",56,+9
22,23,23,Marc Leishman,81,"31' 10""","1,780.917",56,+7
23,T24,T24,Stewart Cink,91,"31' 11""","1,882.500",59,+5
24,T24,T24,Martin Flores,85,"31' 11""","1,851.000",58,+9
25,T24,T24,Tyrone Van Aswegen,79,"31' 11""","1,948.417",61,+15
26,T27,T27,Ryan Moore,86,"32' 0""",575.833,18,E
27,T27,T27,Y.E. Yang,79,"32' 0""","1,568.500",49,+4
28,T29,T29,Lucas Glover,68,"32' 1""",930.250,29,+3
29,T29,T29,Scott Langley,95,"32' 1""","2,150.833",67,+1
30,T29,T29,Wes Roach,67,"32' 1""","1,218.750",38,+3
31,32,32,Sergio Garcia,61,"32' 2""",708.000,22,-3
32,33,33,Martin Kaymer,65,"32' 3""",934.667,29,+3
33,34,34,David Lingmerth,80,"32' 4""","1,585.333",49,+1
34,T35,T35,Bryce Molder,77,"32' 5""","1,360.417",42,+4
35,T35,T35,Justin Rose,70,"32' 5""","1,101.417",34,+2
36,T37,T37,Jason Day,54,"32' 6""",715.417,22,E
37,T37,T37,Luke Guthrie,85,"32' 6""","1,559.917",48,+8
38,T37,T37,Chesson Hadley,84,"32' 6""","1,429.583",44,+5
39,40,40,Michael Thompson,74,"32' 7""","1,368.833",42,+3
40,T41,T41,John Merrick,87,"32' 8""","1,142.500",35,-2
41,T41,T41,Phil Mickelson,71,"32' 8""",849.583,26,+2
42,T41,T41,Brendon Todd,108,"32' 8""","2,122.917",65,-6
43,44,44,Jimmy Walker,98,"32' 10""","2,230.917",68,+4
44,T45,T45,Tim Clark,75,"33' 3""",863.833,26,+2
45,T45,T45,Carl Pettersson,91,"33' 3""","2,362.083",71,-2
46,T45,T45,Bubba Watson,76,"33' 3""","1,563.500",47,+2
47,T48,T48,Chad Collins,78,"33' 4""","1,634.750",49,-3
48,T48,T48,Josh Teater,90,"33' 4""","2,000.083",60,+3
49,T50,T50,K.J. Choi,80,"33' 5""","1,002.833",30,+3
50,T50,T50,Brian Harman,111,"33' 5""","2,403.333",72,+4
51,T50,T50,Ryo Ishikawa,75,"33' 5""","2,104.083",63,+5
52,T53,T53,Jonas Blixt,64,"33' 6""",903.583,27,+3
53,T53,T53,Scott Brown,100,"33' 6""","2,008.333",60,+8
54,55,55,Paul Casey,56,"33' 7""","1,176.417",35,-2
55,56,56,Kevin Na,94,"33' 8""","1,752.583",52,+8
56,57,57,Graham DeLaet,80,"34' 0""","1,428.250",42,+1
57,T58,T58,Charles Howell III,106,"34' 1""","3,373.083",99,+6
58,T58,T58,Billy Hurley III,86,"34' 1""","1,124.000",33,+2
59,T58,T58,Jeff Maggert,54,"34' 1""",886.917,26,+2
60,61,61,Spencer Levin,59,"34' 2""",889.083,26,+1
61,T62,T62,Briny Baird,50,"34' 3""","1,027.500",30,+5
62,T62,T62,Rory McIlroy,66,"34' 3""","1,268.417",37,+1
63,64,64,Tim Wilkinson,86,"34' 5""","2,028.583",59,+2
64,T65,T65,Jerry Kelly,80,"34' 7""","1,315.417",38,+1
65,T65,T65,Matt Kuchar,91,"34' 7""","1,727.333",50,-2
66,T67,T67,Jim Furyk,84,"34' 8""",936.917,27,+1
67,T67,T67,John Peterson,62,"34' 8""","1,560.833",45,+6
68,T67,T67,Chris Stroud,88,"34' 8""","1,246.833",36,+1
69,T70,T70,Brendon de Jonge,109,"34' 9""","1,842.167",53,+5
70,T70,T70,James Driscoll,71,"34' 9""","2,258.083",65,+8
71,T70,T70,Jeff Overton,80,"34' 9""","1,773.000",51,+7
72,T73,T73,Jordan Spieth,102,"34' 10""","1,810.750",52,+9
73,T73,T73,Bo Van Pelt,83,"34' 10""","1,914.250",55,+8
74,T75,T75,Matt Every,85,"35' 0""","1,750.250",50,-3
75,T75,T75,Kevin Streelman,79,"35' 0""","1,224.667",35,+3
76,77,77,Brian Davis,93,"35' 1""","1,579.250",45,+7
77,T78,T78,Angel Cabrera,69,"35' 2""","1,580.917",45,+4
78,T78,T78,Andrew Loupe,65,"35' 2""","1,584.000",45,+14
