,PLAYER NAME,AVG
0,Hudson Swafford,"41' 9"""
1,Lucas Glover,"44' 6"""
2,Seung-Yul Noh,"44' 7"""
3,Jim Herman,"45' 1"""
4,Jim Furyk,"45' 2"""
5,Henrik Stenson,"45' 3"""
6,Stewart Cink,"45' 5"""
7,Heath Slocum,"45' 6"""
8,Jason Bohn,"45' 8"""
9,Daniel Berger,"45' 10"""
10,Paul Casey,"45' 10"""
11,Brooks Koepka,"45' 10"""
12,Dustin Johnson,"45' 11"""
13,Webb Simpson,"46' 1"""
14,Brian Stuard,"46' 2"""
15,Rickie Fowler,"46' 4"""
16,Colt Knost,"46' 4"""
17,Bubba Watson,"46' 4"""
18,Russell Knox,"46' 5"""
19,Davis Love III,"46' 7"""
20,D.A. Points,"46' 9"""
21,Chris Kirk,"47' 2"""
22,Carlos Ortiz,"47' 2"""
23,Keegan Bradley,"47' 5"""
24,Jason Day,"47' 5"""
25,Boo Weekley,"47' 5"""
26,Justin Rose,"47' 6"""
27,David Toms,"47' 8"""
28,Retief Goosen,"47' 9"""
29,Robert Garrigus,"47' 10"""
30,Charlie Beljan,"47' 11"""
31,Ryo Ishikawa,"47' 11"""
32,Jordan Spieth,"48' 1"""
33,Jimmy Walker,"48' 2"""
34,Phil Mickelson,"48' 3"""
35,James Hahn,"48' 4"""
36,Troy Merritt,"48' 5"""
37,Derek Ernst,"48' 6"""
38,Kevin Kisner,"48' 7"""
39,Martin Laird,"48' 8"""
40,Danny Lee,"48' 8"""
41,Nick Taylor,"48' 9"""
42,Johnson Wagner,"48' 9"""
43,Michael Putnam,"48' 10"""
44,Patrick Rodgers,"48' 10"""
45,Harris English,"48' 11"""
46,Justin Leonard,"48' 11"""
47,Kevin Chappell,"49' 0"""
48,Matt Every,"49' 0"""
49,Bo Van Pelt,"49' 0"""
50,Chez Reavie,"49' 1"""
51,Chad Collins,"49' 2"""
52,Tyrone Van Aswegen,"49' 5"""
53,Willy Wilcox,"49' 5"""
54,Alex Cejka,"49' 6"""
55,Andres Gonzales,"49' 6"""
56,Hideki Matsuyama,"49' 6"""
57,Brandt Snedeker,"49' 6"""
58,Graham DeLaet,"49' 7"""
59,Luke Guthrie,"49' 7"""
60,Bryce Molder,"49' 7"""
61,Brendan Steele,"49' 7"""
62,Jhonattan Vegas,"49' 7"""
63,Tom Hoge,"49' 8"""
64,Jim Renner,"49' 8"""
65,Nicholas Thompson,"49' 8"""
66,Rory Sabbatini,"49' 9"""
67,Tim Wilkinson,"49' 9"""
68,Louis Oosthuizen,"49' 11"""
69,Robert Streb,"49' 11"""
70,Ryan Palmer,"50' 0"""
71,Alex Prugh,"50' 0"""
72,Patrick Reed,"50' 0"""
73,Tony Finau,"50' 2"""
74,Zach Johnson,"50' 4"""
75,Jason Kokrak,"50' 4"""
76,Scott Pinckney,"50' 4"""
77,Gary Woodland,"50' 4"""
78,Erik Compton,"50' 5"""
79,Mark Hubbard,"50' 5"""
80,Brendon Todd,"50' 5"""
81,Roberto Castro,"50' 6"""
82,Brian Harman,"50' 7"""
83,Daniel Summerhays,"50' 7"""
84,Justin Thomas,"50' 7"""
85,Mark Wilson,"50' 7"""
86,Brian Davis,"50' 8"""
87,Nick Watney,"50' 8"""
88,Robert Allenby,"50' 10"""
89,Spencer Levin,"50' 10"""
90,John Merrick,"50' 10"""
91,Bill Lunde,"50' 11"""
92,Pat Perez,"50' 11"""
93,Vijay Singh,"50' 11"""
94,Andrew Svoboda,"50' 11"""
95,Oscar Fraustro,"51' 0"""
96,Chesson Hadley,"51' 0"""
97,Morgan Hoffmann,"51' 0"""
98,Byron Smith,"51' 0"""
99,Shawn Stefani,"51' 0"""
100,Sangmoon Bae,"51' 1"""
101,Chad Campbell,"51' 1"""
102,Steven Bowditch,"51' 2"""
103,Jason Dufner,"51' 2"""
104,William McGirt,"51' 2"""
105,David Hearn,"51' 3"""
106,Brice Garnett,"51' 4"""
107,J.J. Henry,"51' 4"""
108,Kevin Na,"51' 4"""
109,Ernie Els,"51' 5"""
110,Jason Gore,"51' 5"""
111,David Lingmerth,"51' 5"""
112,Scott Piercy,"51' 5"""
113,Aaron Baddeley,"51' 6"""
114,Ken Duke,"51' 6"""
115,Jerry Kelly,"51' 6"""
116,Scott Brown,"51' 7"""
117,Max Homa,"51' 8"""
118,Sean O'Hair,"51' 8"""
119,Derek Fathauer,"51' 9"""
120,Francesco Molinari,"51' 9"""
121,Steven Alker,"51' 10"""
122,Billy Hurley III,"51' 10"""
123,Geoff Ogilvy,"51' 11"""
124,Adam Scott,"52' 0"""
125,Roger Sloan,"52' 1"""
126,Charles Howell III,"52' 2"""
127,Ryan Moore,"52' 3"""
128,Russell Henley,"52' 4"""
129,Zac Blair,"52' 5"""
130,Angel Cabrera,"52' 5"""
131,Luke Donald,"52' 5"""
132,Billy Horschel,"52' 5"""
133,George McNeill,"52' 5"""
134,Jeff Overton,"52' 5"""
135,Michael Thompson,"52' 5"""
136,Jonathan Byrd,"52' 6"""
137,Padraig Harrington,"52' 6"""
138,Camilo Villegas,"52' 6"""
139,Lee Westwood,"52' 6"""
140,Ben Martin,"52' 7"""
141,Scott Stallings,"52' 7"""
142,Scott Langley,"52' 8"""
143,Andrew Putnam,"52' 8"""
144,Brendon de Jonge,"52' 9"""
145,Marc Leishman,"52' 9"""
146,Ian Poulter,"52' 9"""
147,Jonathan Randolph,"52' 10"""
148,Adam Hadwin,"52' 11"""
149,Andres Romero,"52' 11"""
150,Greg Owen,"53' 1"""
151,Jon Curran,"53' 2"""
152,Whee Kim,"53' 2"""
153,J.B. Holmes,"53' 3"""
154,Bill Haas,"53' 4"""
155,Cameron Percy,"53' 5"""
156,Sam Saunders,"53' 5"""
157,Gonzalo Fdez-Castano,"53' 7"""
158,Martin Flores,"53' 7"""
159,Cameron Tringale,"53' 7"""
160,K.J. Choi,"53' 9"""
161,Fabian Gomez,"54' 0"""
162,Charl Schwartzel,"54' 0"""
163,Carl Pettersson,"54' 1"""
164,Blayne Barber,"54' 3"""
165,Jonas Blixt,"54' 3"""
166,John Senden,"54' 5"""
167,Steve Wheatcroft,"54' 5"""
168,Kevin Streelman,"54' 6"""
169,Eric Axley,"54' 7"""
170,Ricky Barnes,"54' 7"""
171,Matt Kuchar,"55' 1"""
172,Chris Stroud,"55' 3"""
173,Matt Jones,"55' 11"""
174,Charley Hoffman,"56' 1"""
175,John Peterson,"56' 3"""
176,Ben Crane,"56' 7"""
177,Hunter Mahan,"56' 7"""
178,Kyle Reifers,"57' 2"""
179,S.J. Park,"57' 5"""
180,John Huh,"57' 9"""
181,Greg Chalmers,"58' 1"""
182,Sergio Garcia,"58' 7"""
183,Jamie Donaldson,"60' 2"""
