,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DIST AFTER TEE SHOT,TOTAL TEE SHOTS
110,T110,T110,Will MacKenzie,82,177.7,"6,421,464.000","1,004"
111,112,112,Johnson Wagner,69,177.9,"5,079,037.000",793
112,113,113,Paul Casey,56,178.1,"3,884,760.000",606
113,114,114,Jonathan Byrd,76,178.2,"5,768,594.000",899
114,115,115,William McGirt,96,178.3,"7,492,284.000","1,167"
115,116,116,Stewart Cink,91,178.4,"6,340,615.000",987
116,117,117,Russell Knox,92,178.7,"7,368,014.000","1,145"
117,T118,T118,Brendon de Jonge,109,178.8,"8,215,025.000","1,276"
118,T118,T118,Justin Hicks,103,178.8,"8,006,127.000","1,244"
119,T120,T120,Gonzalo Fdez-Castano,83,178.9,"6,130,934.000",952
120,T120,T120,Ryan Moore,86,178.9,"5,588,901.000",868
121,T122,T122,Erik Compton,88,179.3,"6,679,152.000","1,035"
122,T122,T122,Brandt Snedeker,89,179.3,"5,867,132.000",909
123,T122,T122,Michael Thompson,74,179.3,"5,298,817.000",821
124,125,125,Heath Slocum,71,179.4,"5,559,211.000",861
125,126,126,Robert Allenby,83,179.6,"6,232,626.000",964
126,127,127,Richard Lee,80,179.7,"5,459,268.000",844
127,T128,T128,Jeff Maggert,54,179.8,"3,947,769.000",610
128,T128,T128,Tim Wilkinson,86,179.8,"6,393,608.000",988
129,T130,T130,Jonas Blixt,64,180.0,"3,823,749.000",590
130,T130,T130,Lee Westwood,57,180.0,"3,848,194.000",594
131,T132,T132,Freddie Jacobson,91,180.1,"7,210,776.000","1,112"
132,T132,T132,George McNeill,79,180.1,"6,271,178.000",967
133,134,134,Zach Johnson,97,180.2,"7,584,102.000","1,169"
134,135,135,Mark Wilson,69,180.3,"5,121,946.000",789
135,T136,T136,Briny Baird,50,180.5,"4,034,430.000",621
136,T136,T136,Ken Duke,80,180.5,"5,933,373.000",913
137,T136,T136,Spencer Levin,59,180.5,"4,478,156.000",689
138,T136,T136,Nicholas Thompson,85,180.5,"6,237,716.000",960
139,140,140,John Merrick,87,180.6,"6,455,994.000",993
140,141,141,Brian Stuard,91,180.7,"6,668,360.000","1,025"
141,142,142,Pat Perez,84,180.8,"6,705,171.000","1,030"
142,T143,T143,Greg Chalmers,85,180.9,"6,530,672.000","1,003"
143,T143,T143,James Driscoll,71,180.9,"5,138,143.000",789
144,T145,T145,Scott Langley,95,181.1,"7,101,263.000","1,089"
145,T145,T145,Daniel Summerhays,98,181.1,"7,928,675.000","1,216"
146,T147,T147,D.A. Points,75,181.2,"4,930,626.000",756
147,T147,T147,Y.E. Yang,79,181.2,"5,447,366.000",835
148,149,149,"Ted Potter, Jr.",68,181.6,"5,425,439.000",830
149,150,150,David Toms,64,181.7,"4,887,421.000",747
150,151,151,Charlie Wi,72,181.8,"5,845,090.000",893
151,T152,T152,Brian Davis,93,181.9,"7,320,393.000","1,118"
152,T152,T152,Jerry Kelly,80,181.9,"5,967,091.000",911
153,154,154,John Huh,87,182.1,"6,344,992.000",968
154,T155,T155,Woody Austin,63,182.4,"5,173,110.000",788
155,T155,T155,Roberto Castro,76,182.4,"5,346,003.000",814
156,157,157,Billy Hurley III,86,182.5,"6,551,659.000",997
157,T158,T158,Stuart Appleby,92,182.7,"7,625,056.000","1,159"
158,T158,T158,Cameron Tringale,111,182.7,"8,936,042.000","1,359"
159,160,160,David Hearn,97,183.0,"7,477,295.000","1,135"
160,161,161,Ian Poulter,57,183.1,"3,731,794.000",566
161,162,162,Tim Clark,75,183.6,"5,645,396.000",854
162,T163,T163,Brian Gay,81,183.7,"5,748,200.000",869
163,T163,T163,Kevin Na,94,183.7,"7,136,892.000","1,079"
164,165,165,Ben Crane,81,183.8,"7,118,456.000","1,076"
165,166,166,Brendon Todd,108,184.3,"8,387,846.000","1,264"
166,167,167,Jason Bohn,81,184.4,"6,663,273.000","1,004"
167,168,168,Bryce Molder,77,184.6,"5,813,442.000",875
168,169,169,Graeme McDowell,66,184.9,"4,232,877.000",636
169,170,170,K.J. Choi,80,185.9,"6,142,936.000",918
170,171,171,Ben Curtis,77,186.4,"5,905,008.000",880
171,172,172,Chad Collins,78,186.6,"5,617,289.000",836
172,173,173,Jim Furyk,84,188.0,"6,207,521.000",917
173,174,174,D.H. Lee,54,188.3,"4,169,671.000",615
174,175,175,Mike Weir,69,190.0,"4,925,260.000",720
175,176,176,Luke Donald,57,191.9,"4,171,981.000",604
176,177,177,Justin Leonard,75,192.1,"5,851,231.000",846
