,RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
160,161,161,Michael Thompson,74,"53' 3""","9,592.333",180,-30
161,T162,T162,Brian Davis,93,"53' 7""","14,407.917",269,-36
162,T162,T162,Y.E. Yang,79,"53' 7""","9,964.417",186,-26
163,164,164,D.H. Lee,54,"53' 9""","8,058.833",150,+8
164,165,165,Justin Leonard,75,"54' 2""","9,637.750",178,-3
165,T166,T166,Sangmoon Bae,76,"54' 4""","11,141.083",205,-34
166,T166,T166,Hunter Mahan,88,"54' 4""","12,930.500",238,-32
167,168,168,Lee Westwood,57,"54' 9""","7,990.167",146,-17
168,169,169,Woody Austin,63,"54' 11""","9,229.417",168,+1
169,170,170,Geoff Ogilvy,84,"55' 0""","12,102.583",220,+13
170,171,171,Ben Curtis,77,"55' 2""","10,806.750",196,+2
171,172,172,William McGirt,96,"55' 9""","14,266.583",256,-18
172,173,173,Roberto Castro,76,"55' 11""","11,131.333",199,-14
173,174,174,Richard Lee,80,"56' 10""","9,720.667",171,-7
174,175,175,Brian Gay,81,"56' 11""","10,076.167",177,+19
175,176,176,Greg Chalmers,85,"57' 4""","12,613.167",220,-3
176,177,177,Matt Jones,83,"57' 10""","11,742.750",203,-23
