,PLAYER NAME,AVG
0,Camilo Villegas,"82' 1"""
1,Jimmy Walker,"81' 4"""
2,Zac Blair,"81' 0"""
3,Stewart Cink,"80' 10"""
4,Russell Henley,"80' 10"""
5,Billy Horschel,"80' 9"""
6,Henrik Stenson,"80' 8"""
7,Lee Westwood,"80' 6"""
8,Greg Chalmers,"80' 3"""
9,Willy Wilcox,"80' 1"""
10,Jason Day,"80' 0"""
11,Brooks Koepka,"80' 0"""
12,Scott Pinckney,"79' 10"""
13,Matt Jones,"79' 8"""
14,Brandt Snedeker,"79' 7"""
15,Aaron Baddeley,"79' 5"""
16,Sean O'Hair,"79' 4"""
17,Steve Wheatcroft,"79' 2"""
18,Andrew Putnam,"79' 0"""
19,John Huh,"78' 9"""
20,Jordan Spieth,"78' 9"""
21,Jamie Donaldson,"78' 7"""
22,Hudson Swafford,"78' 5"""
23,Pat Perez,"78' 4"""
24,Danny Lee,"78' 3"""
25,Adam Hadwin,"78' 2"""
26,Ian Poulter,"78' 2"""
27,Luke Guthrie,"77' 9"""
28,Ben Martin,"77' 9"""
29,Sangmoon Bae,"77' 7"""
30,Andres Romero,"77' 7"""
31,Phil Mickelson,"77' 6"""
32,Scott Piercy,"77' 6"""
33,David Hearn,"77' 5"""
34,Troy Merritt,"77' 5"""
35,Hunter Mahan,"77' 4"""
36,Rickie Fowler,"77' 2"""
37,Paul Casey,"77' 1"""
38,Fabian Gomez,"77' 1"""
39,Martin Laird,"76' 10"""
40,Brendon Todd,"76' 9"""
41,Harris English,"76' 8"""
42,Kevin Chappell,"76' 7"""
43,Daniel Summerhays,"76' 7"""
44,Patrick Reed,"76' 6"""
45,Bo Van Pelt,"76' 6"""
46,Luke Donald,"76' 5"""
47,George McNeill,"76' 2"""
48,Ben Crane,"76' 0"""
49,Brian Davis,"76' 0"""
50,Cameron Tringale,"75' 11"""
51,Blayne Barber,"75' 10"""
52,Andres Gonzales,"75' 10"""
53,Bryce Molder,"75' 10"""
54,Jonas Blixt,"75' 7"""
55,Tom Hoge,"75' 6"""
56,Jonathan Randolph,"75' 6"""
57,Robert Streb,"75' 6"""
58,Sergio Garcia,"75' 5"""
59,Gary Woodland,"75' 5"""
60,Chesson Hadley,"75' 4"""
61,Whee Kim,"75' 4"""
62,Rory Sabbatini,"75' 4"""
63,Michael Thompson,"75' 4"""
64,Martin Flores,"75' 2"""
65,Matt Kuchar,"75' 2"""
66,Brian Stuard,"75' 2"""
67,Louis Oosthuizen,"74' 11"""
68,James Hahn,"74' 10"""
69,Colt Knost,"74' 9"""
70,Brendan Steele,"74' 9"""
71,Nick Taylor,"74' 9"""
72,Tony Finau,"74' 7"""
