,PLAYER NAME,AVG
0,Jason Bohn,"23' 5"""
1,Angel Cabrera,"28' 7"""
2,Steven Alker,"28' 8"""
3,Roberto Castro,"29' 0"""
4,James Hahn,"29' 3"""
5,Pat Perez,"29' 4"""
6,Tony Finau,"29' 8"""
7,Ryo Ishikawa,"29' 8"""
8,Paul Casey,"30' 1"""
9,Bill Haas,"30' 1"""
10,Steven Bowditch,"30' 4"""
11,Mark Wilson,"30' 4"""
12,Alex Prugh,"30' 8"""
13,Brice Garnett,"31' 0"""
14,Henrik Stenson,"31' 0"""
15,Bubba Watson,"31' 0"""
16,Ben Crane,"31' 1"""
17,Carl Pettersson,"31' 1"""
18,George McNeill,"31' 3"""
19,Greg Owen,"31' 6"""
20,Hudson Swafford,"31' 8"""
21,Stewart Cink,"31' 10"""
22,Jason Gore,"31' 11"""
23,Chez Reavie,"31' 11"""
24,Whee Kim,"32' 1"""
25,Brian Stuard,"32' 1"""
26,Matt Every,"32' 3"""
27,Jeff Overton,"32' 3"""
28,Andres Romero,"32' 3"""
29,Ernie Els,"32' 5"""
30,Michael Putnam,"32' 5"""
31,Retief Goosen,"32' 8"""
32,Mark Hubbard,"32' 8"""
33,Ricky Barnes,"32' 11"""
34,Carlos Ortiz,"32' 11"""
35,John Peterson,"33' 1"""
36,Eric Axley,"33' 2"""
37,Steve Wheatcroft,"33' 2"""
38,Harris English,"33' 4"""
39,J.B. Holmes,"33' 4"""
40,Jason Day,"33' 5"""
41,Matt Kuchar,"33' 5"""
42,Ian Poulter,"33' 5"""
43,Sam Saunders,"33' 5"""
44,Sangmoon Bae,"33' 6"""
45,Alex Cejka,"33' 6"""
46,Ken Duke,"33' 6"""
47,Jason Kokrak,"33' 6"""
48,Luke Donald,"33' 7"""
49,Nicholas Thompson,"33' 7"""
50,Billy Hurley III,"33' 8"""
51,Gary Woodland,"33' 9"""
52,Luke Guthrie,"33' 10"""
53,Patrick Reed,"33' 10"""
54,Justin Rose,"33' 10"""
55,David Toms,"33' 10"""
56,Jason Dufner,"33' 11"""
57,Chad Collins,"34' 0"""
58,Jerry Kelly,"34' 0"""
59,Bo Van Pelt,"34' 0"""
60,Tyrone Van Aswegen,"34' 1"""
61,Jonas Blixt,"34' 2"""
62,Kevin Chappell,"34' 2"""
63,Jim Furyk,"34' 2"""
64,Martin Flores,"34' 3"""
65,David Lingmerth,"34' 3"""
66,Brendon Todd,"34' 3"""
67,Boo Weekley,"34' 3"""
68,Scott Piercy,"34' 4"""
69,Tim Wilkinson,"34' 4"""
70,Kevin Kisner,"34' 6"""
71,Colt Knost,"34' 7"""
72,Rory Sabbatini,"34' 9"""
73,Charlie Beljan,"34' 10"""
74,Cameron Percy,"34' 10"""
75,William McGirt,"34' 11"""
76,Brendan Steele,"35' 0"""
77,Daniel Summerhays,"35' 0"""
78,Camilo Villegas,"35' 0"""
79,Brian Davis,"35' 1"""
80,Lucas Glover,"35' 1"""
81,Shawn Stefani,"35' 1"""
82,Johnson Wagner,"35' 2"""
83,Gonzalo Fdez-Castano,"35' 3"""
84,Geoff Ogilvy,"35' 4"""
85,Andrew Svoboda,"35' 4"""
86,Hideki Matsuyama,"35' 5"""
87,Troy Merritt,"35' 5"""
88,Dustin Johnson,"35' 6"""
89,Seung-Yul Noh,"35' 6"""
90,Webb Simpson,"35' 6"""
91,Scott Brown,"35' 7"""
92,Chad Campbell,"35' 7"""
93,Charl Schwartzel,"35' 7"""
94,Daniel Berger,"35' 8"""
95,Jamie Donaldson,"35' 8"""
96,Oscar Fraustro,"35' 8"""
97,Fabian Gomez,"35' 8"""
98,Sean O'Hair,"35' 9"""
99,K.J. Choi,"35' 10"""
100,Jimmy Walker,"35' 10"""
101,Louis Oosthuizen,"36' 1"""
102,Scott Stallings,"36' 1"""
103,Jim Herman,"36' 2"""
104,Morgan Hoffmann,"36' 2"""
105,Martin Laird,"36' 2"""
106,Francesco Molinari,"36' 2"""
107,Patrick Rodgers,"36' 2"""
108,Jonathan Byrd,"36' 3"""
109,Jon Curran,"36' 3"""
110,J.J. Henry,"36' 3"""
111,Keegan Bradley,"36' 5"""
112,Kevin Na,"36' 5"""
113,Lee Westwood,"36' 5"""
114,Russell Knox,"36' 6"""
115,Andres Gonzales,"36' 7"""
116,John Merrick,"36' 7"""
117,Jim Renner,"36' 8"""
118,Vijay Singh,"36' 8"""
119,Adam Hadwin,"36' 9"""
120,Jhonattan Vegas,"36' 9"""
121,Derek Ernst,"36' 10"""
122,Justin Thomas,"36' 10"""
123,Charley Hoffman,"36' 11"""
124,Nick Taylor,"36' 11"""
125,Billy Horschel,"37' 0"""
126,D.A. Points,"37' 0"""
127,Brandt Snedeker,"37' 0"""
128,Scott Pinckney,"37' 1"""
129,Derek Fathauer,"37' 2"""
130,Brooks Koepka,"37' 2"""
131,Spencer Levin,"37' 2"""
132,Graham DeLaet,"37' 3"""
133,Justin Leonard,"37' 5"""
134,Hunter Mahan,"37' 5"""
135,Ryan Moore,"37' 5"""
136,Roger Sloan,"37' 6"""
137,Marc Leishman,"37' 8"""
138,Brian Harman,"37' 9"""
139,Scott Langley,"37' 9"""
140,S.J. Park,"37' 10"""
141,Robert Allenby,"37' 11"""
142,Kyle Reifers,"38' 0"""
143,Robert Streb,"38' 3"""
144,Blayne Barber,"38' 4"""
145,John Senden,"38' 4"""
146,John Huh,"38' 5"""
147,Heath Slocum,"38' 6"""
148,Byron Smith,"38' 7"""
149,Chris Stroud,"38' 7"""
150,Nick Watney,"38' 7"""
151,Erik Compton,"38' 8"""
152,Andrew Putnam,"38' 10"""
153,Cameron Tringale,"38' 10"""
154,Chesson Hadley,"39' 0"""
155,David Hearn,"39' 3"""
156,Charles Howell III,"39' 6"""
157,Zach Johnson,"39' 6"""
158,Max Homa,"39' 7"""
159,Jonathan Randolph,"39' 7"""
160,Brendon de Jonge,"39' 8"""
161,Padraig Harrington,"40' 0"""
162,Chris Kirk,"40' 0"""
163,Bill Lunde,"40' 0"""
164,Jordan Spieth,"40' 2"""
165,Russell Henley,"40' 4"""
166,Ryan Palmer,"40' 6"""
167,Michael Thompson,"40' 7"""
168,Bryce Molder,"40' 8"""
169,Rickie Fowler,"40' 9"""
170,Tom Hoge,"41' 0"""
171,Zac Blair,"41' 2"""
172,Greg Chalmers,"41' 3"""
173,Danny Lee,"41' 3"""
174,Aaron Baddeley,"41' 5"""
175,Kevin Streelman,"41' 8"""
176,Ben Martin,"41' 10"""
177,Davis Love III,"41' 11"""
178,Matt Jones,"42' 7"""
179,Adam Scott,"43' 4"""
180,Robert Garrigus,"43' 10"""
181,Willy Wilcox,"43' 11"""
182,Phil Mickelson,"46' 5"""
183,Sergio Garcia,"46' 8"""
